,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,1,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,3,2,0,1,6
COLOMI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
CULPINA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,9,9,1,0,19
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
LA PAZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,4,2,0,0,6
MINEROS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,4,4,0,0,8
PAILON,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
POCOATA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,0,1,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,3,0,0,0,3
PUCARANI,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,2,3,0,0,5
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,1,0,2
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,0,1,1
RAVELO,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,0,1,1
SACABA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,1,0,0,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,2,1,0,0,3
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,1,1,2
SAN JULIAN,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,7,5,0,0,12
SENA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,0,0,1,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
TACACOMA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,pentavalente 1ra dosis,2017-01-01,1,0,0,0,1
