,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,2,1,1,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,1,0,0,3
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,3,4,0,3,10
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,0,1,1,4
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,1,2
CAJUATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,1,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,7,3,2,3,15
CARAPARI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,2,0,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,2,1,0,1,4
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,2,0,0,3
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,49,49,12,12,122
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,1,0,0,5
COLOMI,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,2,0,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,1,0,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,2,0,6,12
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,1,0,0,1
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,1,1,2
CUEVO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,56,70,16,8,150
EL CHORO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,2,0,0,3
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,4,0,2,10
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antiamarilica dosis unica,2017-01-01,4,1,0,0,5
