,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,2,1,1,4
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,4,3,0,0,7
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,16,15,0,0,31
ATOCHA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,3,0,0,3
BETANZOS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
BOLPEBRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,0,1
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,1,0,1,4
CAJUATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,5,1,1,0,7
CHAQUI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,2,0,2
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,3,2,5
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,2,0,0,4
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,36,31,0,1,68
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,2,0,0,5
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,2,0,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,5,0,0,0,5
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,1,2,4
CUEVO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,57,64,19,7,147
EL CHORO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,1,0,0,2
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,0,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,2,0,1,6
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,1,0,0,3
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,3,0,1,7
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,2,2,0,0,4
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,2,0,0,2
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,3,8,4,0,15
HUACARETA,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,1,0,4,6,11
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp dosis unica,2017-01-01,0,1,0,0,1
