municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2024-01-01,6,6
ACHACACHI,otras actividades de enfermeria,otras actividades,2024-01-01,170,170
ACHOCALLA,otras actividades de enfermeria,otras actividades,2024-01-01,113,113
AIQUILE,otras actividades de enfermeria,otras actividades,2024-01-01,821,821
ALALAY,otras actividades de enfermeria,otras actividades,2024-01-01,49,49
ALCALA,otras actividades de enfermeria,otras actividades,2024-01-01,335,335
ALTO BENI,otras actividades de enfermeria,otras actividades,2024-01-01,28,28
ANCORAIMES,otras actividades de enfermeria,otras actividades,2024-01-01,32,32
ANDAMARCA,otras actividades de enfermeria,otras actividades,2024-01-01,19,19
ANZALDO,otras actividades de enfermeria,otras actividades,2024-01-01,20,20
APOLO,otras actividades de enfermeria,otras actividades,2024-01-01,1909,1909
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2024-01-01,2,2
ARANI,otras actividades de enfermeria,otras actividades,2024-01-01,163,163
ARBIETO,otras actividades de enfermeria,otras actividades,2024-01-01,3,3
ARQUE,otras actividades de enfermeria,otras actividades,2024-01-01,46,46
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2024-01-01,9043,9043
ATOCHA,otras actividades de enfermeria,otras actividades,2024-01-01,7023,7023
AUCAPATA,otras actividades de enfermeria,otras actividades,2024-01-01,2,2
AYATA,otras actividades de enfermeria,otras actividades,2024-01-01,6,6
AYO AYO,otras actividades de enfermeria,otras actividades,2024-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2024-01-01,208,208
AZURDUY,otras actividades de enfermeria,otras actividades,2024-01-01,776,776
BATALLAS,otras actividades de enfermeria,otras actividades,2024-01-01,70,70
BAURES,otras actividades de enfermeria,otras actividades,2024-01-01,195,195
BELEN DE ANDAMARCA,otras actividades de enfermeria,otras actividades,2024-01-01,19,19
BELLA FLOR,otras actividades de enfermeria,otras actividades,2024-01-01,554,554
BERMEJO,otras actividades de enfermeria,otras actividades,2024-01-01,139495,139495
BETANZOS,otras actividades de enfermeria,otras actividades,2024-01-01,1628,1628
BOLIVAR,otras actividades de enfermeria,otras actividades,2024-01-01,74,74
BOLPEBRA,otras actividades de enfermeria,otras actividades,2024-01-01,17,17
BOYUIBE,otras actividades de enfermeria,otras actividades,2024-01-01,3,3
BUENA VISTA,otras actividades de enfermeria,otras actividades,2024-01-01,76,76
CABEZAS,otras actividades de enfermeria,otras actividades,2024-01-01,208,208
CAIROMA,otras actividades de enfermeria,otras actividades,2024-01-01,25,25
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2024-01-01,1202,1202
CAJUATA,otras actividades de enfermeria,otras actividades,2024-01-01,263,263
CALACOTO,otras actividades de enfermeria,otras actividades,2024-01-01,1,1
CALAMARCA,otras actividades de enfermeria,otras actividades,2024-01-01,24,24
CAMARGO,otras actividades de enfermeria,otras actividades,2024-01-01,10514,10514
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2024-01-01,97,97
CAMIRI,otras actividades de enfermeria,otras actividades,2024-01-01,54,54
CAPINOTA,otras actividades de enfermeria,otras actividades,2024-01-01,46,46
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2024-01-01,31,31
CARACOLLO,otras actividades de enfermeria,otras actividades,2024-01-01,335,335
CARANAVI,otras actividades de enfermeria,otras actividades,2024-01-01,49725,49725
CARAPARI,otras actividades de enfermeria,otras actividades,2024-01-01,2813,2813
CARIPUYO,otras actividades de enfermeria,otras actividades,2024-01-01,45,45
CARMEN RIVERO TORREZ,otras actividades de enfermeria,otras actividades,2024-01-01,288,288
CATACORA,otras actividades de enfermeria,otras actividades,2024-01-01,15,15
CHALLAPATA,otras actividades de enfermeria,otras actividades,2024-01-01,8133,8133
CHAQUI,otras actividades de enfermeria,otras actividades,2024-01-01,19,19
CHARAGUA,otras actividades de enfermeria,otras actividades,2024-01-01,1065,1065
CHARAÑA,otras actividades de enfermeria,otras actividades,2024-01-01,6,6
CHAYANTA,otras actividades de enfermeria,otras actividades,2024-01-01,210,210
CHIMORE,otras actividades de enfermeria,otras actividades,2024-01-01,1772,1772
CHIPAYA,otras actividades de enfermeria,otras actividades,2024-01-01,1,1
CHOQUE COTA,otras actividades de enfermeria,otras actividades,2024-01-01,1,1
CHUA COCANI,otras actividades de enfermeria,otras actividades,2024-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,otras actividades,2024-01-01,246,246
CHUMA,otras actividades de enfermeria,otras actividades,2024-01-01,322,322
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,otras actividades,2024-01-01,124,124
CKOCHAS,otras actividades de enfermeria,otras actividades,2024-01-01,12,12
CLIZA,otras actividades de enfermeria,otras actividades,2024-01-01,1303,1303
COBIJA,otras actividades de enfermeria,otras actividades,2024-01-01,79269,79269
COCAPATA,otras actividades de enfermeria,otras actividades,2024-01-01,97,97
COCHABAMBA,otras actividades de enfermeria,otras actividades,2024-01-01,415669,415669
COIPASA,otras actividades de enfermeria,otras actividades,2024-01-01,59,59
COLCAPIRHUA,otras actividades de enfermeria,otras actividades,2024-01-01,4989,4989
"COLCHA ""K""",otras actividades de enfermeria,otras actividades,2024-01-01,168,168
COLLANA,otras actividades de enfermeria,otras actividades,2024-01-01,62,62
COLOMI,otras actividades de enfermeria,otras actividades,2024-01-01,296,296
