municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2024-01-01,263,263
ACHACACHI,otras actividades de enfermeria,inyectables,2024-01-01,1392,1392
ACHOCALLA,otras actividades de enfermeria,inyectables,2024-01-01,720,720
AIQUILE,otras actividades de enfermeria,inyectables,2024-01-01,1682,1682
ALALAY,otras actividades de enfermeria,inyectables,2024-01-01,92,92
ALCALA,otras actividades de enfermeria,inyectables,2024-01-01,499,499
ALTO BENI,otras actividades de enfermeria,inyectables,2024-01-01,1473,1473
ANCORAIMES,otras actividades de enfermeria,inyectables,2024-01-01,217,217
ANDAMARCA,otras actividades de enfermeria,inyectables,2024-01-01,399,399
ANTEQUERA,otras actividades de enfermeria,inyectables,2024-01-01,131,131
ANZALDO,otras actividades de enfermeria,inyectables,2024-01-01,450,450
APOLO,otras actividades de enfermeria,inyectables,2024-01-01,738,738
ARAMPAMPA,otras actividades de enfermeria,inyectables,2024-01-01,127,127
ARANI,otras actividades de enfermeria,inyectables,2024-01-01,252,252
ARBIETO,otras actividades de enfermeria,inyectables,2024-01-01,762,762
ARQUE,otras actividades de enfermeria,inyectables,2024-01-01,234,234
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2024-01-01,11436,11436
ATOCHA,otras actividades de enfermeria,inyectables,2024-01-01,2193,2193
AUCAPATA,otras actividades de enfermeria,inyectables,2024-01-01,307,307
AYATA,otras actividades de enfermeria,inyectables,2024-01-01,269,269
AYO AYO,otras actividades de enfermeria,inyectables,2024-01-01,202,202
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2024-01-01,749,749
AZURDUY,otras actividades de enfermeria,inyectables,2024-01-01,1101,1101
BATALLAS,otras actividades de enfermeria,inyectables,2024-01-01,356,356
BAURES,otras actividades de enfermeria,inyectables,2024-01-01,1215,1215
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2024-01-01,121,121
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2024-01-01,103,103
BELLA FLOR,otras actividades de enfermeria,inyectables,2024-01-01,240,240
BERMEJO,otras actividades de enfermeria,inyectables,2024-01-01,14893,14893
BETANZOS,otras actividades de enfermeria,inyectables,2024-01-01,2273,2273
BOLIVAR,otras actividades de enfermeria,inyectables,2024-01-01,217,217
BOLPEBRA,otras actividades de enfermeria,inyectables,2024-01-01,204,204
BOYUIBE,otras actividades de enfermeria,inyectables,2024-01-01,347,347
BUENA VISTA,otras actividades de enfermeria,inyectables,2024-01-01,945,945
CABEZAS,otras actividades de enfermeria,inyectables,2024-01-01,2550,2550
CAIROMA,otras actividades de enfermeria,inyectables,2024-01-01,408,408
"CAIZA ""D""",otras actividades de enfermeria,inyectables,2024-01-01,787,787
CAJUATA,otras actividades de enfermeria,inyectables,2024-01-01,1188,1188
CALACOTO,otras actividades de enfermeria,inyectables,2024-01-01,204,204
CALAMARCA,otras actividades de enfermeria,inyectables,2024-01-01,245,245
CAMARGO,otras actividades de enfermeria,inyectables,2024-01-01,5571,5571
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,inyectables,2024-01-01,448,448
CAMIRI,otras actividades de enfermeria,inyectables,2024-01-01,1033,1033
CAPINOTA,otras actividades de enfermeria,inyectables,2024-01-01,1427,1427
CAQUIAVIRI,otras actividades de enfermeria,inyectables,2024-01-01,202,202
CARACOLLO,otras actividades de enfermeria,inyectables,2024-01-01,589,589
CARANAVI,otras actividades de enfermeria,inyectables,2024-01-01,6364,6364
CARANGAS,otras actividades de enfermeria,inyectables,2024-01-01,5,5
CARAPARI,otras actividades de enfermeria,inyectables,2024-01-01,3244,3244
CARIPUYO,otras actividades de enfermeria,inyectables,2024-01-01,235,235
CARMEN RIVERO TORREZ,otras actividades de enfermeria,inyectables,2024-01-01,1398,1398
CATACORA,otras actividades de enfermeria,inyectables,2024-01-01,75,75
CHACARILLA,otras actividades de enfermeria,inyectables,2024-01-01,32,32
CHALLAPATA,otras actividades de enfermeria,inyectables,2024-01-01,4244,4244
CHAQUI,otras actividades de enfermeria,inyectables,2024-01-01,449,449
CHARAGUA,otras actividades de enfermeria,inyectables,2024-01-01,3309,3309
CHARAÑA,otras actividades de enfermeria,inyectables,2024-01-01,113,113
CHAYANTA,otras actividades de enfermeria,inyectables,2024-01-01,672,672
CHIMORE,otras actividades de enfermeria,inyectables,2024-01-01,2579,2579
CHIPAYA,otras actividades de enfermeria,inyectables,2024-01-01,46,46
CHOQUE COTA,otras actividades de enfermeria,inyectables,2024-01-01,76,76
CHUA COCANI,otras actividades de enfermeria,inyectables,2024-01-01,203,203
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,inyectables,2024-01-01,900,900
CHUMA,otras actividades de enfermeria,inyectables,2024-01-01,294,294
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,inyectables,2024-01-01,609,609
CKOCHAS,otras actividades de enfermeria,inyectables,2024-01-01,738,738
CLIZA,otras actividades de enfermeria,inyectables,2024-01-01,1352,1352
COBIJA,otras actividades de enfermeria,inyectables,2024-01-01,22474,22474
COCAPATA,otras actividades de enfermeria,inyectables,2024-01-01,497,497
COCHABAMBA,otras actividades de enfermeria,inyectables,2024-01-01,193866,193866
COIPASA,otras actividades de enfermeria,inyectables,2024-01-01,62,62
COLCAPIRHUA,otras actividades de enfermeria,inyectables,2024-01-01,3408,3408
"COLCHA ""K""",otras actividades de enfermeria,inyectables,2024-01-01,1477,1477
COLLANA,otras actividades de enfermeria,inyectables,2024-01-01,225,225
COLOMI,otras actividades de enfermeria,inyectables,2024-01-01,748,748
COLPA BELGICA,otras actividades de enfermeria,inyectables,2024-01-01,615,615
COLQUECHACA,otras actividades de enfermeria,inyectables,2024-01-01,475,475
COLQUENCHA,otras actividades de enfermeria,inyectables,2024-01-01,259,259
COLQUIRI,otras actividades de enfermeria,inyectables,2024-01-01,1550,1550
COMANCHE,otras actividades de enfermeria,inyectables,2024-01-01,37,37
COMARAPA,otras actividades de enfermeria,inyectables,2024-01-01,808,808
COMBAYA,otras actividades de enfermeria,inyectables,2024-01-01,57,57
CONCEPCION,otras actividades de enfermeria,inyectables,2024-01-01,3047,3047
COPACABANA,otras actividades de enfermeria,inyectables,2024-01-01,402,402
CORIPATA,otras actividades de enfermeria,inyectables,2024-01-01,897,897
CORO CORO,otras actividades de enfermeria,inyectables,2024-01-01,346,346
COROICO,otras actividades de enfermeria,inyectables,2024-01-01,2759,2759
CORQUE,otras actividades de enfermeria,inyectables,2024-01-01,554,554
COTAGAITA,otras actividades de enfermeria,inyectables,2024-01-01,3718,3718
COTOCA,otras actividades de enfermeria,inyectables,2024-01-01,10180,10180
CRUZ DE MACHACAMARCA,otras actividades de enfermeria,inyectables,2024-01-01,82,82
CUATRO CAÑADAS,otras actividades de enfermeria,inyectables,2024-01-01,1943,1943
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,inyectables,2024-01-01,77,77
CUEVO,otras actividades de enfermeria,inyectables,2024-01-01,291,291
CULPINA,otras actividades de enfermeria,inyectables,2024-01-01,1694,1694
CURAHUARA DE CARANGAS,otras actividades de enfermeria,inyectables,2024-01-01,242,242
CURVA,otras actividades de enfermeria,inyectables,2024-01-01,70,70
DESAGUADERO,otras actividades de enfermeria,inyectables,2024-01-01,201,201
EL ALTO,otras actividades de enfermeria,inyectables,2024-01-01,79544,79544
EL CHORO,otras actividades de enfermeria,inyectables,2024-01-01,228,228
EL PUENTE(STC),otras actividades de enfermeria,inyectables,2024-01-01,1125,1125
EL PUENTE(TJA),otras actividades de enfermeria,inyectables,2024-01-01,600,600
EL TORNO,otras actividades de enfermeria,inyectables,2024-01-01,6666,6666
EL VILLAR,otras actividades de enfermeria,inyectables,2024-01-01,826,826
ENTRE RIOS TRJ,otras actividades de enfermeria,inyectables,2024-01-01,2392,2392
ENTRE RIOS CBBA,otras actividades de enfermeria,inyectables,2024-01-01,2377,2377
ESCARA,otras actividades de enfermeria,inyectables,2024-01-01,14,14
