municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2024-01-01,13,13
ACHACACHI,otras actividades de enfermeria,sueros,2024-01-01,234,234
ACHOCALLA,otras actividades de enfermeria,sueros,2024-01-01,11,11
AIQUILE,otras actividades de enfermeria,sueros,2024-01-01,205,205
ALALAY,otras actividades de enfermeria,sueros,2024-01-01,1,1
ALCALA,otras actividades de enfermeria,sueros,2024-01-01,14,14
ALTO BENI,otras actividades de enfermeria,sueros,2024-01-01,108,108
ANCORAIMES,otras actividades de enfermeria,sueros,2024-01-01,13,13
ANDAMARCA,otras actividades de enfermeria,sueros,2024-01-01,10,10
ANZALDO,otras actividades de enfermeria,sueros,2024-01-01,48,48
APOLO,otras actividades de enfermeria,sueros,2024-01-01,38,38
ARAMPAMPA,otras actividades de enfermeria,sueros,2024-01-01,8,8
ARANI,otras actividades de enfermeria,sueros,2024-01-01,20,20
ARBIETO,otras actividades de enfermeria,sueros,2024-01-01,5,5
ARQUE,otras actividades de enfermeria,sueros,2024-01-01,26,26
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2024-01-01,1121,1121
ATOCHA,otras actividades de enfermeria,sueros,2024-01-01,83,83
AUCAPATA,otras actividades de enfermeria,sueros,2024-01-01,4,4
AYATA,otras actividades de enfermeria,sueros,2024-01-01,17,17
AYO AYO,otras actividades de enfermeria,sueros,2024-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2024-01-01,62,62
AZURDUY,otras actividades de enfermeria,sueros,2024-01-01,88,88
BATALLAS,otras actividades de enfermeria,sueros,2024-01-01,26,26
BAURES,otras actividades de enfermeria,sueros,2024-01-01,134,134
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2024-01-01,2,2
BELEN DE URMIRI,otras actividades de enfermeria,sueros,2024-01-01,3,3
BELLA FLOR,otras actividades de enfermeria,sueros,2024-01-01,48,48
BERMEJO,otras actividades de enfermeria,sueros,2024-01-01,2138,2138
BETANZOS,otras actividades de enfermeria,sueros,2024-01-01,76,76
BOLIVAR,otras actividades de enfermeria,sueros,2024-01-01,5,5
BOLPEBRA,otras actividades de enfermeria,sueros,2024-01-01,50,50
BOYUIBE,otras actividades de enfermeria,sueros,2024-01-01,3,3
BUENA VISTA,otras actividades de enfermeria,sueros,2024-01-01,62,62
CABEZAS,otras actividades de enfermeria,sueros,2024-01-01,395,395
CAIROMA,otras actividades de enfermeria,sueros,2024-01-01,15,15
"CAIZA ""D""",otras actividades de enfermeria,sueros,2024-01-01,30,30
CAJUATA,otras actividades de enfermeria,sueros,2024-01-01,87,87
CALACOTO,otras actividades de enfermeria,sueros,2024-01-01,6,6
CALAMARCA,otras actividades de enfermeria,sueros,2024-01-01,15,15
CAMARGO,otras actividades de enfermeria,sueros,2024-01-01,865,865
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,sueros,2024-01-01,46,46
CAMIRI,otras actividades de enfermeria,sueros,2024-01-01,4,4
CAPINOTA,otras actividades de enfermeria,sueros,2024-01-01,167,167
CAQUIAVIRI,otras actividades de enfermeria,sueros,2024-01-01,8,8
CARACOLLO,otras actividades de enfermeria,sueros,2024-01-01,12,12
CARANAVI,otras actividades de enfermeria,sueros,2024-01-01,2139,2139
CARAPARI,otras actividades de enfermeria,sueros,2024-01-01,176,176
CARIPUYO,otras actividades de enfermeria,sueros,2024-01-01,14,14
CARMEN RIVERO TORREZ,otras actividades de enfermeria,sueros,2024-01-01,65,65
CATACORA,otras actividades de enfermeria,sueros,2024-01-01,8,8
CHACARILLA,otras actividades de enfermeria,sueros,2024-01-01,2,2
CHALLAPATA,otras actividades de enfermeria,sueros,2024-01-01,1119,1119
CHAQUI,otras actividades de enfermeria,sueros,2024-01-01,13,13
CHARAGUA,otras actividades de enfermeria,sueros,2024-01-01,367,367
CHARAÑA,otras actividades de enfermeria,sueros,2024-01-01,8,8
CHAYANTA,otras actividades de enfermeria,sueros,2024-01-01,22,22
CHIMORE,otras actividades de enfermeria,sueros,2024-01-01,400,400
CHIPAYA,otras actividades de enfermeria,sueros,2024-01-01,1,1
CHOQUE COTA,otras actividades de enfermeria,sueros,2024-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,sueros,2024-01-01,77,77
CHUMA,otras actividades de enfermeria,sueros,2024-01-01,14,14
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,sueros,2024-01-01,30,30
CKOCHAS,otras actividades de enfermeria,sueros,2024-01-01,40,40
CLIZA,otras actividades de enfermeria,sueros,2024-01-01,314,314
COBIJA,otras actividades de enfermeria,sueros,2024-01-01,2913,2913
COCAPATA,otras actividades de enfermeria,sueros,2024-01-01,12,12
COCHABAMBA,otras actividades de enfermeria,sueros,2024-01-01,45076,45076
COIPASA,otras actividades de enfermeria,sueros,2024-01-01,4,4
COLCAPIRHUA,otras actividades de enfermeria,sueros,2024-01-01,1299,1299
"COLCHA ""K""",otras actividades de enfermeria,sueros,2024-01-01,66,66
COLLANA,otras actividades de enfermeria,sueros,2024-01-01,15,15
COLOMI,otras actividades de enfermeria,sueros,2024-01-01,64,64
COLPA BELGICA,otras actividades de enfermeria,sueros,2024-01-01,37,37
COLQUECHACA,otras actividades de enfermeria,sueros,2024-01-01,45,45
COLQUENCHA,otras actividades de enfermeria,sueros,2024-01-01,15,15
COLQUIRI,otras actividades de enfermeria,sueros,2024-01-01,36,36
COMANCHE,otras actividades de enfermeria,sueros,2024-01-01,4,4
COMARAPA,otras actividades de enfermeria,sueros,2024-01-01,1342,1342
COMBAYA,otras actividades de enfermeria,sueros,2024-01-01,6,6
CONCEPCION,otras actividades de enfermeria,sueros,2024-01-01,38,38
COPACABANA,otras actividades de enfermeria,sueros,2024-01-01,30,30
CORIPATA,otras actividades de enfermeria,sueros,2024-01-01,29,29
CORO CORO,otras actividades de enfermeria,sueros,2024-01-01,20,20
COROICO,otras actividades de enfermeria,sueros,2024-01-01,484,484
CORQUE,otras actividades de enfermeria,sueros,2024-01-01,27,27
COTAGAITA,otras actividades de enfermeria,sueros,2024-01-01,139,139
COTOCA,otras actividades de enfermeria,sueros,2024-01-01,1533,1533
CUATRO CAÑADAS,otras actividades de enfermeria,sueros,2024-01-01,194,194
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria,sueros,2024-01-01,4,4
CUEVO,otras actividades de enfermeria,sueros,2024-01-01,27,27
CULPINA,otras actividades de enfermeria,sueros,2024-01-01,93,93
CURAHUARA DE CARANGAS,otras actividades de enfermeria,sueros,2024-01-01,7,7
CURVA,otras actividades de enfermeria,sueros,2024-01-01,7,7
