municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,127,127
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,198,198
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,187,187
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,299,299
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,13,13
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,51,51
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,179,179
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,46,46
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,31,31
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,13,13
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,72,72
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,84,84
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,40,40
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,118,118
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,155,155
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,60,60
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,961,961
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,253,253
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,58,58
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,38,38
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,68,68
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,90,90
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,55,55
BATALLAS,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,77,77
BAURES,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,202,202
BELEN DE URMIRI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,12,12
BELLA FLOR,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,26,26
BERMEJO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,2219,2219
BETANZOS,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,339,339
BOLIVAR,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,8,8
BOLPEBRA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,72,72
BOYUIBE,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,14,14
BUENA VISTA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,236,236
CABEZAS,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,270,270
CAIROMA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,62,62
"CAIZA ""D""",otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,139,139
CAJUATA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,125,125
CALACOTO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,19,19
CALAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,68,68
CAMARGO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,349,349
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,23,23
CAMIRI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,100,100
CAPINOTA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,225,225
CAQUIAVIRI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,83,83
CARACOLLO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,171,171
CARANAVI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,588,588
CARANGAS,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,9,9
CARAPARI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,318,318
CARIPUYO,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,29,29
CARMEN RIVERO TORREZ,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,171,171
CATACORA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,7,7
CHACARILLA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,8,8
CHALLAPATA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,546,546
CHAQUI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,54,54
CHARAGUA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,189,189
CHARAÑA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,11,11
CHAYANTA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,60,60
CHIMORE,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,192,192
CHIPAYA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,6,6
CHOQUE COTA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,3,3
CHUA COCANI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,44,44
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,202,202
CHUMA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,101,101
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,141,141
CKOCHAS,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,47,47
CLIZA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,254,254
COBIJA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,1927,1927
COCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,55,55
COCHABAMBA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,18950,18950
COIPASA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,8,8
COLCAPIRHUA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,1422,1422
"COLCHA ""K""",otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,139,139
COLLANA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,25,25
COLOMI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,243,243
COLPA BELGICA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,237,237
COLQUECHACA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,117,117
COLQUENCHA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,134,134
COLQUIRI,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,630,630
COMANCHE,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,12,12
COMARAPA,otras actividades de enfermeria,curaciones y/o suturas,2024-01-01,178,178
