,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,l talla normal,2012-01-01,42,44,28,40,35,35,105,119,224
ACHACACHI,estado nutricional,l talla normal,2012-01-01,318,279,225,207,195,172,738,658,1396
ACHOCALLA,estado nutricional,l talla normal,2012-01-01,110,81,72,59,55,57,237,197,434
AIQUILE,estado nutricional,l talla normal,2012-01-01,94,94,70,64,47,56,211,214,425
ALALAY,estado nutricional,l talla normal,2012-01-01,19,18,23,12,11,9,53,39,92
ALCALA,estado nutricional,l talla normal,2012-01-01,26,26,17,23,49,43,92,92,184
ALTO BENI,estado nutricional,l talla normal,2012-01-01,104,95,56,55,68,66,228,216,444
ANCORAIMES,estado nutricional,l talla normal,2012-01-01,60,47,40,36,50,38,150,121,271
ANDAMARCA,estado nutricional,l talla normal,2012-01-01,23,15,16,35,44,36,83,86,169
ANTEQUERA,estado nutricional,l talla normal,2012-01-01,34,18,14,16,19,10,67,44,111
ANZALDO,estado nutricional,l talla normal,2012-01-01,45,42,38,41,12,24,95,107,202
APOLO,estado nutricional,l talla normal,2012-01-01,217,191,127,125,172,171,516,487,1003
ARAMPAMPA,estado nutricional,l talla normal,2012-01-01,19,36,22,13,20,21,61,70,131
ARANI,estado nutricional,l talla normal,2012-01-01,133,125,79,70,88,72,300,267,567
ARBIETO,estado nutricional,l talla normal,2012-01-01,126,98,86,73,97,80,309,251,560
ARQUE,estado nutricional,l talla normal,2012-01-01,156,144,84,92,73,82,313,318,631
ASCENCION DE GUARAYOS,estado nutricional,l talla normal,2012-01-01,284,311,154,151,218,197,656,659,1315
ATOCHA,estado nutricional,l talla normal,2012-01-01,102,98,74,62,82,52,258,212,470
AUCAPATA,estado nutricional,l talla normal,2012-01-01,28,43,26,31,22,18,76,92,168
AYATA,estado nutricional,l talla normal,2012-01-01,100,82,44,45,22,28,166,155,321
AYO AYO,estado nutricional,l talla normal,2012-01-01,53,63,27,37,12,15,92,115,207
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-01-01,227,214,112,128,136,122,475,464,939
AZURDUY,estado nutricional,l talla normal,2012-01-01,85,97,76,72,109,92,270,261,531
BATALLAS,estado nutricional,l talla normal,2012-01-01,120,123,70,81,51,64,241,268,509
BAURES,estado nutricional,l talla normal,2012-01-01,24,22,23,18,40,25,87,65,152
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-01-01,7,11,6,14,11,8,24,33,57
BELEN DE URMIRI,estado nutricional,l talla normal,2012-01-01,12,16,4,8,8,8,24,32,56
BELLA FLOR,estado nutricional,l talla normal,2012-01-01,15,17,19,10,17,8,51,35,86
BERMEJO,estado nutricional,l talla normal,2012-01-01,212,190,154,125,86,81,452,396,848
BETANZOS,estado nutricional,l talla normal,2012-01-01,232,219,191,212,183,177,606,608,1214
BOLIVAR,estado nutricional,l talla normal,2012-01-01,36,38,32,37,58,43,126,118,244
BOLPEBRA,estado nutricional,l talla normal,2012-01-01,15,14,7,17,16,12,38,43,81
BOYUIBE,estado nutricional,l talla normal,2012-01-01,30,31,32,24,56,50,118,105,223
BUENA VISTA,estado nutricional,l talla normal,2012-01-01,146,160,140,73,93,84,379,317,696
CABEZAS,estado nutricional,l talla normal,2012-01-01,156,124,102,80,80,78,338,282,620
CAIROMA,estado nutricional,l talla normal,2012-01-01,79,82,50,68,69,72,198,222,420
"CAIZA ""D""",estado nutricional,l talla normal,2012-01-01,61,62,68,62,42,40,171,164,335
CAJUATA,estado nutricional,l talla normal,2012-01-01,86,71,67,49,60,57,213,177,390
CALACOTO,estado nutricional,l talla normal,2012-01-01,24,34,29,16,16,19,69,69,138
CALAMARCA,estado nutricional,l talla normal,2012-01-01,82,92,68,74,40,72,190,238,428
CAMARGO,estado nutricional,l talla normal,2012-01-01,121,117,92,98,109,103,322,318,640
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-01-01,33,30,22,18,28,32,83,80,163
CAMIRI,estado nutricional,l talla normal,2012-01-01,369,290,199,233,240,212,808,735,1543
CAPINOTA,estado nutricional,l talla normal,2012-01-01,111,92,69,61,38,42,218,195,413
CAQUIAVIRI,estado nutricional,l talla normal,2012-01-01,58,72,36,35,28,26,122,133,255
CARACOLLO,estado nutricional,l talla normal,2012-01-01,156,166,129,116,113,114,398,396,794
CARANAVI,estado nutricional,l talla normal,2012-01-01,462,421,297,260,180,171,939,852,1791
CARANGAS,estado nutricional,l talla normal,2012-01-01,3,1,0,0,1,1,4,2,6
CARAPARI,estado nutricional,l talla normal,2012-01-01,107,87,81,87,89,72,277,246,523
CARIPUYO,estado nutricional,l talla normal,2012-01-01,59,76,37,53,47,43,143,172,315
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-01-01,32,28,22,19,32,23,86,70,156
CATACORA,estado nutricional,l talla normal,2012-01-01,4,4,3,5,9,4,16,13,29
CHACARILLA,estado nutricional,l talla normal,2012-01-01,6,1,4,6,3,2,13,9,22
CHALLAPATA,estado nutricional,l talla normal,2012-01-01,309,261,176,219,111,105,596,585,1181
CHAQUI,estado nutricional,l talla normal,2012-01-01,61,38,41,36,22,28,124,102,226
CHARAGUA,estado nutricional,l talla normal,2012-01-01,259,235,199,160,215,213,673,608,1281
CHARAÑA,estado nutricional,l talla normal,2012-01-01,23,8,16,8,16,13,55,29,84
CHAYANTA,estado nutricional,l talla normal,2012-01-01,122,105,46,43,31,51,199,199,398
CHIMORE,estado nutricional,l talla normal,2012-01-01,94,92,73,69,80,77,247,238,485
CHIPAYA,estado nutricional,l talla normal,2012-01-01,13,14,16,11,6,9,35,34,69
CHOQUE COTA,estado nutricional,l talla normal,2012-01-01,6,2,8,3,8,5,22,10,32
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-01-01,96,84,74,50,49,40,219,174,393
CHUMA,estado nutricional,l talla normal,2012-01-01,76,93,44,43,33,33,153,169,322
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-01-01,63,46,40,42,16,21,119,109,228
CKOCHAS,estado nutricional,l talla normal,2012-01-01,124,118,64,81,79,80,267,279,546
CLIZA,estado nutricional,l talla normal,2012-01-01,236,181,105,104,109,78,450,363,813
COBIJA,estado nutricional,l talla normal,2012-01-01,477,465,218,214,194,200,889,879,1768
COCAPATA,estado nutricional,l talla normal,2012-01-01,120,98,97,77,83,72,300,247,547
COCHABAMBA,estado nutricional,l talla normal,2012-01-01,2956,2701,1890,1712,1978,1837,6824,6250,13074
COIPASA,estado nutricional,l talla normal,2012-01-01,6,5,5,4,3,7,14,16,30
COLCAPIRHUA,estado nutricional,l talla normal,2012-01-01,382,310,240,204,169,192,791,706,1497
"COLCHA ""K""",estado nutricional,l talla normal,2012-01-01,90,77,56,60,48,61,194,198,392
COLLANA,estado nutricional,l talla normal,2012-01-01,16,20,25,12,9,11,50,43,93
COLOMI,estado nutricional,l talla normal,2012-01-01,217,181,97,117,73,75,387,373,760
COLPA BELGICA,estado nutricional,l talla normal,2012-01-01,4,5,0,2,0,3,4,10,14
COLQUECHACA,estado nutricional,l talla normal,2012-01-01,233,205,187,184,79,96,499,485,984
COLQUENCHA,estado nutricional,l talla normal,2012-01-01,64,79,48,58,20,18,132,155,287
COLQUIRI,estado nutricional,l talla normal,2012-01-01,148,202,81,90,96,94,325,386,711
COMANCHE,estado nutricional,l talla normal,2012-01-01,23,26,17,10,7,14,47,50,97
