,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,l talla baja,2012-01-01,10,5,24,20,26,34,60,59,119
ACHACACHI,estado nutricional,l talla baja,2012-01-01,26,16,36,19,20,12,82,47,129
ACHOCALLA,estado nutricional,l talla baja,2012-01-01,6,4,10,10,5,4,21,18,39
AIQUILE,estado nutricional,l talla baja,2012-01-01,5,5,25,12,15,19,45,36,81
ALALAY,estado nutricional,l talla baja,2012-01-01,6,3,15,12,16,12,37,27,64
ALCALA,estado nutricional,l talla baja,2012-01-01,0,0,7,2,11,13,18,15,33
ALTO BENI,estado nutricional,l talla baja,2012-01-01,1,1,4,6,8,9,13,16,29
ANCORAIMES,estado nutricional,l talla baja,2012-01-01,13,5,14,14,9,7,36,26,62
ANDAMARCA,estado nutricional,l talla baja,2012-01-01,8,4,9,5,16,18,33,27,60
ANTEQUERA,estado nutricional,l talla baja,2012-01-01,6,2,2,5,1,6,9,13,22
ANZALDO,estado nutricional,l talla baja,2012-01-01,2,5,11,9,1,7,14,21,35
APOLO,estado nutricional,l talla baja,2012-01-01,10,3,22,20,29,24,61,47,108
ARAMPAMPA,estado nutricional,l talla baja,2012-01-01,3,5,11,9,16,23,30,37,67
ARANI,estado nutricional,l talla baja,2012-01-01,2,1,3,6,11,6,16,13,29
ARBIETO,estado nutricional,l talla baja,2012-01-01,2,5,12,9,12,5,26,19,45
ARQUE,estado nutricional,l talla baja,2012-01-01,18,13,43,30,33,31,94,74,168
ASCENCION DE GUARAYOS,estado nutricional,l talla baja,2012-01-01,12,9,14,15,19,36,45,60,105
ATOCHA,estado nutricional,l talla baja,2012-01-01,7,5,7,5,14,15,28,25,53
AUCAPATA,estado nutricional,l talla baja,2012-01-01,4,2,5,7,6,8,15,17,32
AYATA,estado nutricional,l talla baja,2012-01-01,12,5,44,23,35,33,91,61,152
AYO AYO,estado nutricional,l talla baja,2012-01-01,20,7,26,13,6,5,52,25,77
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla baja,2012-01-01,22,16,48,34,41,25,111,75,186
AZURDUY,estado nutricional,l talla baja,2012-01-01,5,14,34,34,57,68,96,116,212
BATALLAS,estado nutricional,l talla baja,2012-01-01,17,10,26,9,12,13,55,32,87
BAURES,estado nutricional,l talla baja,2012-01-01,2,2,2,0,2,2,6,4,10
BELEN DE ANDAMARCA,estado nutricional,l talla baja,2012-01-01,2,0,4,3,1,2,7,5,12
BELEN DE URMIRI,estado nutricional,l talla baja,2012-01-01,4,3,3,2,5,1,12,6,18
BELLA FLOR,estado nutricional,l talla baja,2012-01-01,0,1,0,0,0,0,0,1,1
BERMEJO,estado nutricional,l talla baja,2012-01-01,2,3,8,7,6,13,16,23,39
BETANZOS,estado nutricional,l talla baja,2012-01-01,42,46,92,71,113,108,247,225,472
BOLIVAR,estado nutricional,l talla baja,2012-01-01,20,14,48,35,88,75,156,124,280
BOLPEBRA,estado nutricional,l talla baja,2012-01-01,1,2,4,3,5,3,10,8,18
BOYUIBE,estado nutricional,l talla baja,2012-01-01,0,1,0,0,2,3,2,4,6
BUENA VISTA,estado nutricional,l talla baja,2012-01-01,0,2,0,0,2,3,2,5,7
CABEZAS,estado nutricional,l talla baja,2012-01-01,0,1,4,6,4,2,8,9,17
CAIROMA,estado nutricional,l talla baja,2012-01-01,7,7,15,9,10,9,32,25,57
"CAIZA ""D""",estado nutricional,l talla baja,2012-01-01,3,5,14,16,11,15,28,36,64
CAJUATA,estado nutricional,l talla baja,2012-01-01,2,2,3,4,4,4,9,10,19
CALACOTO,estado nutricional,l talla baja,2012-01-01,6,0,6,4,4,1,16,5,21
CALAMARCA,estado nutricional,l talla baja,2012-01-01,13,10,33,22,25,25,71,57,128
CAMARGO,estado nutricional,l talla baja,2012-01-01,16,7,18,22,58,39,92,68,160
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla baja,2012-01-01,0,1,5,2,14,6,19,9,28
CAMIRI,estado nutricional,l talla baja,2012-01-01,3,0,11,8,7,11,21,19,40
CAPINOTA,estado nutricional,l talla baja,2012-01-01,8,10,25,17,15,12,48,39,87
CAQUIAVIRI,estado nutricional,l talla baja,2012-01-01,3,8,11,4,5,3,19,15,34
CARACOLLO,estado nutricional,l talla baja,2012-01-01,23,13,50,24,20,25,93,62,155
CARANAVI,estado nutricional,l talla baja,2012-01-01,32,32,38,47,48,74,118,153,271
CARAPARI,estado nutricional,l talla baja,2012-01-01,1,1,0,1,7,3,8,5,13
CARIPUYO,estado nutricional,l talla baja,2012-01-01,13,18,33,23,62,55,108,96,204
CARMEN RIVERO TORREZ,estado nutricional,l talla baja,2012-01-01,1,1,3,1,0,0,4,2,6
CATACORA,estado nutricional,l talla baja,2012-01-01,5,1,7,1,9,3,21,5,26
CHACARILLA,estado nutricional,l talla baja,2012-01-01,0,0,3,0,2,1,5,1,6
CHALLAPATA,estado nutricional,l talla baja,2012-01-01,30,19,67,35,42,39,139,93,232
CHAQUI,estado nutricional,l talla baja,2012-01-01,9,5,14,13,10,16,33,34,67
CHARAGUA,estado nutricional,l talla baja,2012-01-01,6,5,9,3,8,6,23,14,37
CHARAÑA,estado nutricional,l talla baja,2012-01-01,0,1,1,5,4,8,5,14,19
CHAYANTA,estado nutricional,l talla baja,2012-01-01,26,13,52,47,27,39,105,99,204
CHIMORE,estado nutricional,l talla baja,2012-01-01,8,6,13,13,8,11,29,30,59
CHIPAYA,estado nutricional,l talla baja,2012-01-01,2,1,2,4,5,2,9,7,16
CHOQUE COTA,estado nutricional,l talla baja,2012-01-01,0,1,2,1,4,0,6,2,8
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla baja,2012-01-01,2,3,5,5,5,2,12,10,22
CHUMA,estado nutricional,l talla baja,2012-01-01,10,12,19,10,15,27,44,49,93
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla baja,2012-01-01,12,17,18,13,5,5,35,35,70
CKOCHAS,estado nutricional,l talla baja,2012-01-01,25,11,55,30,72,59,152,100,252
CLIZA,estado nutricional,l talla baja,2012-01-01,4,1,10,9,6,6,20,16,36
COBIJA,estado nutricional,l talla baja,2012-01-01,9,12,32,7,19,15,60,34,94
COCAPATA,estado nutricional,l talla baja,2012-01-01,17,8,21,19,20,19,58,46,104
COCHABAMBA,estado nutricional,l talla baja,2012-01-01,84,69,167,165,108,113,359,347,706
COIPASA,estado nutricional,l talla baja,2012-01-01,0,0,1,1,0,1,1,2,3
COLCAPIRHUA,estado nutricional,l talla baja,2012-01-01,8,16,16,26,27,23,51,65,116
"COLCHA ""K""",estado nutricional,l talla baja,2012-01-01,9,6,14,9,5,11,28,26,54
COLLANA,estado nutricional,l talla baja,2012-01-01,3,0,2,3,4,2,9,5,14
COLOMI,estado nutricional,l talla baja,2012-01-01,13,4,30,22,14,37,57,63,120
COLQUECHACA,estado nutricional,l talla baja,2012-01-01,68,47,141,132,86,78,295,257,552
COLQUENCHA,estado nutricional,l talla baja,2012-01-01,15,3,25,16,5,11,45,30,75
COLQUIRI,estado nutricional,l talla baja,2012-01-01,13,19,25,18,58,53,96,90,186
COMANCHE,estado nutricional,l talla baja,2012-01-01,4,3,4,11,2,4,10,18,28
COMARAPA,estado nutricional,l talla baja,2012-01-01,7,5,16,9,6,6,29,20,49
COMBAYA,estado nutricional,l talla baja,2012-01-01,0,0,2,1,4,7,6,8,14
