,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,menores de 6 meses,2021-01-01,3,3,0,0,3,3,6
ACHACACHI,consulta externa,menores de 6 meses,2021-01-01,92,78,28,30,120,108,228
ACHOCALLA,consulta externa,menores de 6 meses,2021-01-01,29,29,4,1,33,30,63
AIQUILE,consulta externa,menores de 6 meses,2021-01-01,34,29,2,3,36,32,68
ALALAY,consulta externa,menores de 6 meses,2021-01-01,1,4,0,0,1,4,5
ALCALA,consulta externa,menores de 6 meses,2021-01-01,7,5,0,0,7,5,12
ALTO BENI,consulta externa,menores de 6 meses,2021-01-01,42,25,0,0,42,25,67
ANCORAIMES,consulta externa,menores de 6 meses,2021-01-01,9,8,0,0,9,8,17
ANDAMARCA,consulta externa,menores de 6 meses,2021-01-01,3,1,0,0,3,1,4
ANTEQUERA,consulta externa,menores de 6 meses,2021-01-01,1,0,0,1,1,1,2
ANZALDO,consulta externa,menores de 6 meses,2021-01-01,20,3,6,4,26,7,33
APOLO,consulta externa,menores de 6 meses,2021-01-01,53,38,37,25,90,63,153
ARAMPAMPA,consulta externa,menores de 6 meses,2021-01-01,2,1,0,0,2,1,3
ARANI,consulta externa,menores de 6 meses,2021-01-01,8,8,0,1,8,9,17
ARBIETO,consulta externa,menores de 6 meses,2021-01-01,52,52,4,3,56,55,111
ARQUE,consulta externa,menores de 6 meses,2021-01-01,19,22,1,0,20,22,42
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2021-01-01,49,33,0,1,49,34,83
ATOCHA,consulta externa,menores de 6 meses,2021-01-01,16,18,3,0,19,18,37
AUCAPATA,consulta externa,menores de 6 meses,2021-01-01,24,14,0,0,24,14,38
AYATA,consulta externa,menores de 6 meses,2021-01-01,10,12,0,2,10,14,24
AYO AYO,consulta externa,menores de 6 meses,2021-01-01,11,3,8,5,19,8,27
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2021-01-01,49,47,2,1,51,48,99
AZURDUY,consulta externa,menores de 6 meses,2021-01-01,40,25,0,1,40,26,66
