,group,variable,month,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS NUEVO,PERSONAS DE 50 A 59 AÑOS REPETIDO,PERSONAS DE 50 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 50 a 59 anos,2021-01-01,15,45,0,2,15,47,62
ACHACACHI,consulta externa,personas de 50 a 59 anos,2021-01-01,155,206,25,57,180,263,443
ACHOCALLA,consulta externa,personas de 50 a 59 anos,2021-01-01,46,74,6,11,52,85,137
AIQUILE,consulta externa,personas de 50 a 59 anos,2021-01-01,61,119,26,44,87,163,250
ALALAY,consulta externa,personas de 50 a 59 anos,2021-01-01,12,5,1,0,13,5,18
ALCALA,consulta externa,personas de 50 a 59 anos,2021-01-01,34,50,7,13,41,63,104
ALTO BENI,consulta externa,personas de 50 a 59 anos,2021-01-01,64,46,9,8,73,54,127
ANCORAIMES,consulta externa,personas de 50 a 59 anos,2021-01-01,27,31,13,22,40,53,93
ANDAMARCA,consulta externa,personas de 50 a 59 anos,2021-01-01,25,29,5,4,30,33,63
ANTEQUERA,consulta externa,personas de 50 a 59 anos,2021-01-01,17,18,5,2,22,20,42
ANZALDO,consulta externa,personas de 50 a 59 anos,2021-01-01,29,64,3,12,32,76,108
APOLO,consulta externa,personas de 50 a 59 anos,2021-01-01,95,94,6,13,101,107,208
ARAMPAMPA,consulta externa,personas de 50 a 59 anos,2021-01-01,20,16,0,0,20,16,36
ARANI,consulta externa,personas de 50 a 59 anos,2021-01-01,17,21,3,4,20,25,45
ARBIETO,consulta externa,personas de 50 a 59 anos,2021-01-01,34,66,3,7,37,73,110
ARQUE,consulta externa,personas de 50 a 59 anos,2021-01-01,24,68,1,1,25,69,94
ASCENCION DE GUARAYOS,consulta externa,personas de 50 a 59 anos,2021-01-01,69,109,1,5,70,114,184
ATOCHA,consulta externa,personas de 50 a 59 anos,2021-01-01,187,200,48,59,235,259,494
AUCAPATA,consulta externa,personas de 50 a 59 anos,2021-01-01,33,35,1,3,34,38,72
AYATA,consulta externa,personas de 50 a 59 anos,2021-01-01,50,64,6,2,56,66,122
AYO AYO,consulta externa,personas de 50 a 59 anos,2021-01-01,31,45,0,0,31,45,76
