,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,2,0,0,4,2,6
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,45,35,36,26,81,61,142
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,19,11,0,3,19,14,33
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,23,22,0,0,23,22,45
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,7,0,1,0,8,0,8
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,4,3,0,0,4,3,7
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,31,25,1,0,32,25,57
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,11,6,1,0,12,6,18
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,5,5,0,0,5,5,10
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,0,4,2,1,2,5,7
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,8,8,1,1,9,9,18
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,35,39,35,28,70,67,137
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,3,2,0,0,3,2,5
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,10,5,2,1,12,6,18
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,65,53,6,0,71,53,124
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,26,21,5,0,31,21,52
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,36,45,2,0,38,45,83
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,19,16,1,1,20,17,37
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2021-01-01,21,7,0,0,21,7,28
