,group,variable,month,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS NUEVO,PERSONAS DE 20 A 39 AÑOS REPETIDO,PERSONAS DE 20 A 39 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 20 a 39 anos,2021-01-01,16,46,0,0,16,46,62
ACHACACHI,consulta externa,personas de 20 a 39 anos,2021-01-01,278,649,40,148,318,797,1115
ACHOCALLA,consulta externa,personas de 20 a 39 anos,2021-01-01,93,345,11,31,104,376,480
AIQUILE,consulta externa,personas de 20 a 39 anos,2021-01-01,119,320,14,89,133,409,542
ALALAY,consulta externa,personas de 20 a 39 anos,2021-01-01,6,11,0,0,6,11,17
ALCALA,consulta externa,personas de 20 a 39 anos,2021-01-01,90,172,21,38,111,210,321
ALTO BENI,consulta externa,personas de 20 a 39 anos,2021-01-01,131,248,5,5,136,253,389
ANCORAIMES,consulta externa,personas de 20 a 39 anos,2021-01-01,41,87,12,18,53,105,158
ANDAMARCA,consulta externa,personas de 20 a 39 anos,2021-01-01,35,73,1,13,36,86,122
ANTEQUERA,consulta externa,personas de 20 a 39 anos,2021-01-01,40,52,7,1,47,53,100
ANZALDO,consulta externa,personas de 20 a 39 anos,2021-01-01,68,103,5,10,73,113,186
APOLO,consulta externa,personas de 20 a 39 anos,2021-01-01,172,371,4,62,176,433,609
ARAMPAMPA,consulta externa,personas de 20 a 39 anos,2021-01-01,19,42,0,1,19,43,62
ARANI,consulta externa,personas de 20 a 39 anos,2021-01-01,38,91,5,20,43,111,154
ARBIETO,consulta externa,personas de 20 a 39 anos,2021-01-01,92,325,1,13,93,338,431
ARQUE,consulta externa,personas de 20 a 39 anos,2021-01-01,63,119,0,2,63,121,184
ASCENCION DE GUARAYOS,consulta externa,personas de 20 a 39 anos,2021-01-01,105,280,5,3,110,283,393
ATOCHA,consulta externa,personas de 20 a 39 anos,2021-01-01,310,503,61,91,371,594,965
AUCAPATA,consulta externa,personas de 20 a 39 anos,2021-01-01,89,135,2,2,91,137,228
AYATA,consulta externa,personas de 20 a 39 anos,2021-01-01,69,119,4,5,73,124,197
AYO AYO,consulta externa,personas de 20 a 39 anos,2021-01-01,59,109,0,1,59,110,169
