,group,variable,month,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS NUEVO,PERSONAS DE 10 A 14 AÑOS REPETIDO,PERSONAS DE 10 A 14 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 14 anos,2021-01-01,5,9,0,0,5,9,14
ACHACACHI,consulta externa,personas de 10 a 14 anos,2021-01-01,59,80,15,8,74,88,162
ACHOCALLA,consulta externa,personas de 10 a 14 anos,2021-01-01,18,42,2,1,20,43,63
AIQUILE,consulta externa,personas de 10 a 14 anos,2021-01-01,29,29,1,4,30,33,63
ALALAY,consulta externa,personas de 10 a 14 anos,2021-01-01,5,4,0,0,5,4,9
ALCALA,consulta externa,personas de 10 a 14 anos,2021-01-01,18,26,2,5,20,31,51
ALTO BENI,consulta externa,personas de 10 a 14 anos,2021-01-01,31,40,0,0,31,40,71
ANCORAIMES,consulta externa,personas de 10 a 14 anos,2021-01-01,4,11,2,1,6,12,18
ANDAMARCA,consulta externa,personas de 10 a 14 anos,2021-01-01,12,4,0,0,12,4,16
ANTEQUERA,consulta externa,personas de 10 a 14 anos,2021-01-01,0,5,0,0,0,5,5
ANZALDO,consulta externa,personas de 10 a 14 anos,2021-01-01,16,16,0,1,16,17,33
APOLO,consulta externa,personas de 10 a 14 anos,2021-01-01,31,55,1,2,32,57,89
ARAMPAMPA,consulta externa,personas de 10 a 14 anos,2021-01-01,7,7,0,0,7,7,14
ARANI,consulta externa,personas de 10 a 14 anos,2021-01-01,4,5,0,0,4,5,9
ARBIETO,consulta externa,personas de 10 a 14 anos,2021-01-01,19,34,4,2,23,36,59
ARQUE,consulta externa,personas de 10 a 14 anos,2021-01-01,30,22,0,0,30,22,52
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 14 anos,2021-01-01,49,45,0,1,49,46,95
ATOCHA,consulta externa,personas de 10 a 14 anos,2021-01-01,56,38,7,10,63,48,111
AUCAPATA,consulta externa,personas de 10 a 14 anos,2021-01-01,18,24,0,0,18,24,42
AYATA,consulta externa,personas de 10 a 14 anos,2021-01-01,18,19,2,0,20,19,39
AYO AYO,consulta externa,personas de 10 a 14 anos,2021-01-01,13,11,0,0,13,11,24
