,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2021-01-01,11,9,0,0,11,9,20
ACHACACHI,consulta externa,personas de 5 a 9 anos,2021-01-01,84,61,7,5,91,66,157
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2021-01-01,55,62,1,1,56,63,119
AIQUILE,consulta externa,personas de 5 a 9 anos,2021-01-01,29,34,0,4,29,38,67
ALALAY,consulta externa,personas de 5 a 9 anos,2021-01-01,7,1,0,0,7,1,8
ALCALA,consulta externa,personas de 5 a 9 anos,2021-01-01,14,16,3,1,17,17,34
ALTO BENI,consulta externa,personas de 5 a 9 anos,2021-01-01,45,59,1,0,46,59,105
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2021-01-01,12,12,1,0,13,12,25
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2021-01-01,12,14,0,0,12,14,26
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2021-01-01,7,8,0,1,7,9,16
ANZALDO,consulta externa,personas de 5 a 9 anos,2021-01-01,12,8,1,0,13,8,21
APOLO,consulta externa,personas de 5 a 9 anos,2021-01-01,87,64,6,3,93,67,160
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2021-01-01,7,4,0,0,7,4,11
ARANI,consulta externa,personas de 5 a 9 anos,2021-01-01,8,9,3,1,11,10,21
ARBIETO,consulta externa,personas de 5 a 9 anos,2021-01-01,56,49,2,5,58,54,112
ARQUE,consulta externa,personas de 5 a 9 anos,2021-01-01,35,22,0,0,35,22,57
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2021-01-01,57,74,3,2,60,76,136
ATOCHA,consulta externa,personas de 5 a 9 anos,2021-01-01,65,79,5,8,70,87,157
AUCAPATA,consulta externa,personas de 5 a 9 anos,2021-01-01,15,23,0,1,15,24,39
AYATA,consulta externa,personas de 5 a 9 anos,2021-01-01,25,27,2,2,27,29,56
AYO AYO,consulta externa,personas de 5 a 9 anos,2021-01-01,23,15,0,1,23,16,39
