,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,ninos  de 1 a 4 anos,2021-01-01,22,22,0,0,22,22,44
ACHACACHI,consulta externa,ninos  de 1 a 4 anos,2021-01-01,101,121,45,61,146,182,328
ACHOCALLA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,103,79,2,4,105,83,188
AIQUILE,consulta externa,ninos  de 1 a 4 anos,2021-01-01,83,101,7,3,90,104,194
ALALAY,consulta externa,ninos  de 1 a 4 anos,2021-01-01,6,5,3,3,9,8,17
ALCALA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,25,22,0,0,25,22,47
ALTO BENI,consulta externa,ninos  de 1 a 4 anos,2021-01-01,146,129,2,1,148,130,278
ANCORAIMES,consulta externa,ninos  de 1 a 4 anos,2021-01-01,32,23,1,1,33,24,57
ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,19,20,0,2,19,22,41
ANTEQUERA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,13,9,3,2,16,11,27
ANZALDO,consulta externa,ninos  de 1 a 4 anos,2021-01-01,32,46,3,9,35,55,90
APOLO,consulta externa,ninos  de 1 a 4 anos,2021-01-01,118,153,51,55,169,208,377
ARAMPAMPA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,27,23,0,0,27,23,50
ARANI,consulta externa,ninos  de 1 a 4 anos,2021-01-01,28,32,6,2,34,34,68
ARBIETO,consulta externa,ninos  de 1 a 4 anos,2021-01-01,211,196,9,5,220,201,421
ARQUE,consulta externa,ninos  de 1 a 4 anos,2021-01-01,116,84,1,1,117,85,202
ASCENCION DE GUARAYOS,consulta externa,ninos  de 1 a 4 anos,2021-01-01,162,141,9,7,171,148,319
ATOCHA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,117,97,8,3,125,100,225
AUCAPATA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,47,57,5,1,52,58,110
AYATA,consulta externa,ninos  de 1 a 4 anos,2021-01-01,63,43,4,3,67,46,113
