,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2021-01-01,277,320,0,1,277,321,598
ACHACACHI,consulta externa,personas de 60 anos y mas,2021-01-01,601,585,174,181,775,766,1541
ACHOCALLA,consulta externa,personas de 60 anos y mas,2021-01-01,273,309,40,46,313,355,668
AIQUILE,consulta externa,personas de 60 anos y mas,2021-01-01,254,267,332,342,586,609,1195
ALALAY,consulta externa,personas de 60 anos y mas,2021-01-01,38,45,13,21,51,66,117
ALCALA,consulta externa,personas de 60 anos y mas,2021-01-01,98,139,7,16,105,155,260
ALTO BENI,consulta externa,personas de 60 anos y mas,2021-01-01,235,149,32,34,267,183,450
ANCORAIMES,consulta externa,personas de 60 anos y mas,2021-01-01,186,164,164,157,350,321,671
ANDAMARCA,consulta externa,personas de 60 anos y mas,2021-01-01,202,262,16,26,218,288,506
ANTEQUERA,consulta externa,personas de 60 anos y mas,2021-01-01,34,44,18,11,52,55,107
ANZALDO,consulta externa,personas de 60 anos y mas,2021-01-01,255,339,29,41,284,380,664
APOLO,consulta externa,personas de 60 anos y mas,2021-01-01,252,195,34,30,286,225,511
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2021-01-01,96,130,2,0,98,130,228
ARANI,consulta externa,personas de 60 anos y mas,2021-01-01,139,239,113,127,252,366,618
ARBIETO,consulta externa,personas de 60 anos y mas,2021-01-01,187,278,40,52,227,330,557
ARQUE,consulta externa,personas de 60 anos y mas,2021-01-01,293,399,25,27,318,426,744
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2021-01-01,297,281,15,23,312,304,616
ATOCHA,consulta externa,personas de 60 anos y mas,2021-01-01,232,222,77,65,309,287,596
AUCAPATA,consulta externa,personas de 60 anos y mas,2021-01-01,107,100,7,4,114,104,218
AYATA,consulta externa,personas de 60 anos y mas,2021-01-01,184,224,11,26,195,250,445
AYO AYO,consulta externa,personas de 60 anos y mas,2021-01-01,270,263,6,6,276,269,545
