,group,variable,month,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS NUEVO,PERSONAS DE 40 A 49 AÑOS REPETIDO,PERSONAS DE 40 A 49 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 40 a 49 anos,2021-01-01,16,36,0,0,16,36,52
ACHACACHI,consulta externa,personas de 40 a 49 anos,2021-01-01,102,196,20,41,122,237,359
ACHOCALLA,consulta externa,personas de 40 a 49 anos,2021-01-01,53,111,7,12,60,123,183
AIQUILE,consulta externa,personas de 40 a 49 anos,2021-01-01,82,127,17,18,99,145,244
ALALAY,consulta externa,personas de 40 a 49 anos,2021-01-01,8,10,0,1,8,11,19
ALCALA,consulta externa,personas de 40 a 49 anos,2021-01-01,38,82,9,18,47,100,147
ALTO BENI,consulta externa,personas de 40 a 49 anos,2021-01-01,71,93,4,11,75,104,179
ANCORAIMES,consulta externa,personas de 40 a 49 anos,2021-01-01,20,25,5,17,25,42,67
ANDAMARCA,consulta externa,personas de 40 a 49 anos,2021-01-01,15,30,1,3,16,33,49
ANTEQUERA,consulta externa,personas de 40 a 49 anos,2021-01-01,27,16,4,4,31,20,51
ANZALDO,consulta externa,personas de 40 a 49 anos,2021-01-01,30,63,5,5,35,68,103
APOLO,consulta externa,personas de 40 a 49 anos,2021-01-01,109,141,4,9,113,150,263
ARAMPAMPA,consulta externa,personas de 40 a 49 anos,2021-01-01,15,20,0,0,15,20,35
ARANI,consulta externa,personas de 40 a 49 anos,2021-01-01,8,30,0,1,8,31,39
ARBIETO,consulta externa,personas de 40 a 49 anos,2021-01-01,33,70,2,3,35,73,108
ARQUE,consulta externa,personas de 40 a 49 anos,2021-01-01,23,55,0,0,23,55,78
ASCENCION DE GUARAYOS,consulta externa,personas de 40 a 49 anos,2021-01-01,51,130,2,4,53,134,187
ATOCHA,consulta externa,personas de 40 a 49 anos,2021-01-01,228,249,89,52,317,301,618
AUCAPATA,consulta externa,personas de 40 a 49 anos,2021-01-01,45,50,5,1,50,51,101
AYATA,consulta externa,personas de 40 a 49 anos,2021-01-01,41,69,4,5,45,74,119
AYO AYO,consulta externa,personas de 40 a 49 anos,2021-01-01,32,50,0,1,32,51,83
