,group,variable,month,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS NUEVO,PERSONAS DE 15 A 19 AÑOS REPETIDO,PERSONAS DE 15 A 19 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 15 a 19 anos,2021-01-01,4,11,0,0,4,11,15
ACHACACHI,consulta externa,personas de 15 a 19 anos,2021-01-01,106,139,20,18,126,157,283
ACHOCALLA,consulta externa,personas de 15 a 19 anos,2021-01-01,36,79,1,4,37,83,120
AIQUILE,consulta externa,personas de 15 a 19 anos,2021-01-01,23,73,3,12,26,85,111
ALALAY,consulta externa,personas de 15 a 19 anos,2021-01-01,1,6,1,1,2,7,9
ALCALA,consulta externa,personas de 15 a 19 anos,2021-01-01,9,21,1,2,10,23,33
ALTO BENI,consulta externa,personas de 15 a 19 anos,2021-01-01,35,54,1,1,36,55,91
ANCORAIMES,consulta externa,personas de 15 a 19 anos,2021-01-01,13,27,1,5,14,32,46
ANDAMARCA,consulta externa,personas de 15 a 19 anos,2021-01-01,11,17,0,0,11,17,28
ANTEQUERA,consulta externa,personas de 15 a 19 anos,2021-01-01,7,13,0,0,7,13,20
ANZALDO,consulta externa,personas de 15 a 19 anos,2021-01-01,11,19,0,0,11,19,30
APOLO,consulta externa,personas de 15 a 19 anos,2021-01-01,35,86,6,11,41,97,138
ARAMPAMPA,consulta externa,personas de 15 a 19 anos,2021-01-01,5,11,0,0,5,11,16
ARANI,consulta externa,personas de 15 a 19 anos,2021-01-01,12,24,4,2,16,26,42
ARBIETO,consulta externa,personas de 15 a 19 anos,2021-01-01,23,48,1,1,24,49,73
ARQUE,consulta externa,personas de 15 a 19 anos,2021-01-01,21,38,0,0,21,38,59
ASCENCION DE GUARAYOS,consulta externa,personas de 15 a 19 anos,2021-01-01,25,67,1,0,26,67,93
ATOCHA,consulta externa,personas de 15 a 19 anos,2021-01-01,52,92,15,17,67,109,176
AUCAPATA,consulta externa,personas de 15 a 19 anos,2021-01-01,21,22,0,0,21,22,43
AYATA,consulta externa,personas de 15 a 19 anos,2021-01-01,12,12,0,0,12,12,24
AYO AYO,consulta externa,personas de 15 a 19 anos,2021-01-01,20,24,0,0,20,24,44
