municipality,group,variable,month,AQV femenino,TOTAL
ASCENCION DE GUARAYOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,5,5
CHARAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,5,5
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,31,31
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,4,4
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
CULPINA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,7,7
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
GUAYARAMERIN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,11,11
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,7,7
MAIRANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
MIZQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
OCURI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,5,5
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
PAILON,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,15,15
PORTACHUELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,6,6
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,9,9
PUNATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,5,5
QUILLACOLLO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
ROBORE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
RURRENABAQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
SACABA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
SAN BORJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,6,6
SAN JULIAN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,1,1
SAN LUCAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,2,2
SAN MATIAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
SANTA ANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,72,72
SOPACHUY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
SUCRE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,53,53
TARABUCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,5,5
TARIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,27,27
TRINIDAD,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,10,10
UYUNI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,6,6
VALLEGRANDE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2009-01-01,3,3
