municipality,group,variable,month,AQV masculino,TOTAL
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-01-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-01-01,2,2
SUCRE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-01-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-02-01,6,6
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-02-01,4,4
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-02-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-02-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-03-01,3,3
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-03-01,17,17
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-03-01,1,1
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-04-01,8,8
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-04-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-04-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-04-01,8,8
PATACAMAYA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-04-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-04-01,2,2
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-05-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-05-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-05-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-05-01,3,3
SUCRE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-05-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-06-01,4,4
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-07-01,3,3
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-07-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-07-01,1,1
BUENA VISTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-08-01,3,3
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-08-01,2,2
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-08-01,6,6
PUERTO QUIJARRO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-08-01,9,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-08-01,1,1
TARIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-08-01,2,2
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-09-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-09-01,2,2
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-09-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-09-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-10-01,3,3
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-10-01,1,1
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-10-01,5,5
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-10-01,9,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-10-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-11-01,23,23
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-11-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-11-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-12-01,3,3
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2009-12-01,4,4
