municipality,group,variable,month,DIU: Usuarias nuevas,TOTAL
ACHACACHI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,5,5
ACHOCALLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,1,1
AIQUILE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,1,1
ANTEQUERA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,3,3
ANZALDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,2,2
ARANI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,1,1
ARBIETO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,3,3
ARQUE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,2,2
BAURES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,1,1
BERMEJO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,6,6
BUENA VISTA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,3,3
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,8,8
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,5,5
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",diu: usuarias nuevas,2009-01-01,2,2
