municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,referencias,pacientes referidos a otros establecimientos,2005-01-01,7,7
ACHACACHI,referencias,pacientes referidos a otros establecimientos,2005-01-01,23,23
ACHOCALLA,referencias,pacientes referidos a otros establecimientos,2005-01-01,2,2
AIQUILE,referencias,pacientes referidos a otros establecimientos,2005-01-01,38,38
ALALAY,referencias,pacientes referidos a otros establecimientos,2005-01-01,3,3
ALCALA,referencias,pacientes referidos a otros establecimientos,2005-01-01,3,3
ANCORAIMES,referencias,pacientes referidos a otros establecimientos,2005-01-01,8,8
ANDAMARCA,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
APOLO,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
ARAMPAMPA,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
ARBIETO,referencias,pacientes referidos a otros establecimientos,2005-01-01,7,7
ARQUE,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
ASCENCION DE GUARAYOS,referencias,pacientes referidos a otros establecimientos,2005-01-01,9,9
ATOCHA,referencias,pacientes referidos a otros establecimientos,2005-01-01,102,102
AYOPAYA (V. DE INDEPENDENCIA),referencias,pacientes referidos a otros establecimientos,2005-01-01,4,4
AZURDUY,referencias,pacientes referidos a otros establecimientos,2005-01-01,3,3
BATALLAS,referencias,pacientes referidos a otros establecimientos,2005-01-01,8,8
BELEN DE URMIRI,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
BERMEJO,referencias,pacientes referidos a otros establecimientos,2005-01-01,41,41
BETANZOS,referencias,pacientes referidos a otros establecimientos,2005-01-01,24,24
BOLIVAR,referencias,pacientes referidos a otros establecimientos,2005-01-01,4,4
BOYUIBE,referencias,pacientes referidos a otros establecimientos,2005-01-01,8,8
BUENA VISTA,referencias,pacientes referidos a otros establecimientos,2005-01-01,9,9
CABEZAS,referencias,pacientes referidos a otros establecimientos,2005-01-01,8,8
CAIROMA,referencias,pacientes referidos a otros establecimientos,2005-01-01,2,2
"CAIZA ""D""",referencias,pacientes referidos a otros establecimientos,2005-01-01,6,6
CAJUATA,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
CALAMARCA,referencias,pacientes referidos a otros establecimientos,2005-01-01,15,15
CAMARGO,referencias,pacientes referidos a otros establecimientos,2005-01-01,3,3
CAMIRI,referencias,pacientes referidos a otros establecimientos,2005-01-01,17,17
CAPINOTA,referencias,pacientes referidos a otros establecimientos,2005-01-01,20,20
CARACOLLO,referencias,pacientes referidos a otros establecimientos,2005-01-01,24,24
CARANAVI,referencias,pacientes referidos a otros establecimientos,2005-01-01,25,25
CARAPARI,referencias,pacientes referidos a otros establecimientos,2005-01-01,5,5
CHALLAPATA,referencias,pacientes referidos a otros establecimientos,2005-01-01,16,16
CHAQUI,referencias,pacientes referidos a otros establecimientos,2005-01-01,1,1
CHARAGUA,referencias,pacientes referidos a otros establecimientos,2005-01-01,19,19
CHAYANTA,referencias,pacientes referidos a otros establecimientos,2005-01-01,8,8
CHIMORE,referencias,pacientes referidos a otros establecimientos,2005-01-01,24,24
CHULUMANI (V. DE LA LIBERTAD),referencias,pacientes referidos a otros establecimientos,2005-01-01,3,3
CHUMA,referencias,pacientes referidos a otros establecimientos,2005-01-01,6,6
CLIZA,referencias,pacientes referidos a otros establecimientos,2005-01-01,9,9
