,group,variable,month,13. 1 INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,13. 1 INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,9,2,9,11
ANZALDO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
ARQUE,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
ASCENCION DE GUARAYOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,23,2,23,25
AYOPAYA (V. DE INDEPENDENCIA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
AZURDUY,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
BERMEJO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,3,0,3,3
BETANZOS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,2,0,2,2
CABEZAS,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,2,0,2,2
CAMARGO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
CAMIRI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,12,5,12,17
CARANAVI,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,46,5,46,51
CHALLAPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,3,5,3,8
CHARAGUA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,6,14,6,14,20
CHAYANTA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,0,2,0,2
CLIZA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,6,0,6,6
COBIJA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,35,191,35,191,226
COCAPATA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
COCHABAMBA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,25,330,25,330,355
COLCAPIRHUA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,1,1,1,2
CONCEPCION,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,0,1,0,1
COROICO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,6,2,6,8
COTAGAITA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,2,1,2,3
EL ALTO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,46,276,46,276,322
EL PUENTE(STC),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,2,2,2,2,4
EL TORNO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
EL VILLAR,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,0,1,0,1
ESCOMA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,7,0,7,7
EXALTACION,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,6,1,6,7
GUANAY,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
GUAYARAMERIN,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,3,25,3,25,28
GUTIERREZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
HUACAYA (VILLA DE HUACAYA),internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,1,0,1,1
ICLA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,0,6,0,6,6
LA GUARDIA,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,5,3,5,3,8
LA PAZ,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,268,675,268,675,943
LORETO,internaciones,1      ingresos referidos de otros establecimientos de salud,2014-01-01,1,0,1,0,1
