municipality,group,variable,month,AQV femenino,AQV femenino1,AQV femenino2,AQV femenino3,AQV femenino4,TOTAL
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,3,1,0,4
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,0,1,0,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,3,0,0,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,3,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,1,43,17,1,62
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,3,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,1,18,9,0,28
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,10,2,0,12
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,2,7,0,9
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,23,8,0,31
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,0,0,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,2,2,0,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,2,13,6,0,21
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,15,2,0,17
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,2,2,0,4
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,2,1,0,3
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,5,0,0,5
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,0,2,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,1,12,9,0,22
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,2,0,0,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,5,0,0,5
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,5,1,0,6
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,2,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,5,2,0,7
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,1,0,2
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,7,23,4,34
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,4,3,0,7
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,2,2,0,4
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,0,1,0,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,4,1,0,5
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,1,2,0,3
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-01-01,0,0,15,0,0,15
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,3,2,0,5
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,0,5,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,30,21,0,51
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,2,0,0,2
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,12,8,0,20
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,2,4,0,6
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,0,1,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,3,7,0,10
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,13,2,0,15
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,3,0,4
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,1,0,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,1,12,1,0,14
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,6,0,0,6
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,3,1,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,7,6,0,13
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,2,0,0,0,2
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,0,1,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,19,2,0,21
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,2,4,0,6
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,3,4,0,7
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2015-02-01,0,0,9,1,0,10
