municipality,group,variable,month,Condón Masculino: Usuarias (os) Continuas (os),Condón Masculino: Usuarias (os) Continuas (os)1,Condón Masculino: Usuarias (os) Continuas (os)2,Condón Masculino: Usuarias (os) Continuas (os)3,Condón Masculino: Usuarias (os) Continuas (os)4,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,1,1,0,2
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,1,0,0,1
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,3,4,0,0,7
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,3,0,0,3
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,1,6,1,0,8
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,1,5,1,0,7
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,2,1,0,3
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,12,3,13,0,28
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,2,3,0,5
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,1,1,0,2
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,1,0,0,1
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,0,2,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,7,5,0,12
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,4,2,0,6
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,1,0,0,1
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon masculino: usuarias (os) continuas (os),2015-01-01,0,0,7,2,1,10
