municipality,group,variable,month,Condón Femenino: Usuarias Continuas,Condón Femenino: Usuarias Continuas1,Condón Femenino: Usuarias Continuas2,Condón Femenino: Usuarias Continuas3,Condón Femenino: Usuarias Continuas4,TOTAL
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,3,0,0,3
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,7,3,1,11
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,36,13,1,0,50
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,12,0,0,12
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,8,8,0,16
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,13,0,0,13
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,2,0,0,2
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,2,0,0,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,1,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,3,0,1,4
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,24,1,0,25
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,49,2,0,51
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,0,1,0,1
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,0,0,1,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,3,0,0,3
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,0,12,0,12
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,12,13,3,0,28
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,6,1,1,8
TACACOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,12,132,0,0,144
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,5,0,0,5
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,12,0,0,12
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,12,0,0,12
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-01-01,0,0,7,3,0,10
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,24,0,0,24
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,0,1,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,12,0,0,12
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,5,0,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,54,11,0,65
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,24,60,0,84
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,24,0,0,24
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,1,0,0,0,1
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias continuas,2015-02-01,0,0,1,0,0,1
