municipality,group,variable,month,Condón Femenino: Usuarias Nuevas,Condón Femenino: Usuarias Nuevas1,Condón Femenino: Usuarias Nuevas2,Condón Femenino: Usuarias Nuevas3,Condón Femenino: Usuarias Nuevas4,TOTAL
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,1,8,5,0,14
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,84,12,0,96
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,18,0,0,18
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,12,0,0,12
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,0,0,1
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,9,10,0,19
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,1,0,0,0,1
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,61,12,0,73
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,2,0,0,2
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,1,0,2,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,1,3,2,0,6
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,2,0,0,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,1,0,2
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,1,0,0,0,1
PASORAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,12,0,0,12
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,25,0,0,25
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,30,0,0,30
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,10,11,1,22
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,2,1,0,0,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,3,0,0,3
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,2,0,0,2
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,12,12,0,24
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,0,12,0,12
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,4,0,0,4
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,1,0,2
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,12,0,0,12
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,1,4,1,0,0,6
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,3,0,0,3
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,9,6,0,15
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,12,0,0,12
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,24,12,0,36
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,20,0,0,20
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,1,0,0,1
TRIGAL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",condon femenino: usuarias nuevas,2015-01-01,0,0,0,12,0,12
