municipality,group,variable,month,DIU: Usuarias Continuas,DIU: Usuarias Continuas1,DIU: Usuarias Continuas2,DIU: Usuarias Continuas3,DIU: Usuarias Continuas4,TOTAL
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,0,1,0,1
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,1,0,2
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,0,1,0,1
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,2,0,0,2
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,2,4,0,6
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,1,3,3,0,7
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,1,3,3,0,7
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,2,0,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,4,2,2,8
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,1,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,1,10,139,57,4,211
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,2,47,54,0,103
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,0,1,0,1
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,1,4,5,2,0,12
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,7,1,0,8
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,0,1,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,2,0,0,2
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,0,1,0,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,1,8,2,0,11
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,89,227,18,0,334
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,1,1,0,2
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,1,2,0,0,3
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,1,6,0,0,7
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2015-01-01,0,0,3,0,0,3
