municipality,group,variable,month,Número de mujeres con muestras de PAP tomadas,Número de mujeres con muestras de PAP tomadas1,Número de mujeres con muestras de PAP tomadas2,Número de mujeres con muestras de PAP tomadas3,Número de mujeres con muestras de PAP tomadas4,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,1,4,3,0,8
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,17,12,2,33
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,8,9,1,18
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,1,20,14,7,42
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,8,10,2,23
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,4,5,1,1,11
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,3,3,0,6
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,2,0,3
ANZALDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,4,1,0,5
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,2,5,0,7
ARAMPAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,0,1,0,1
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,6,27,5,2,40
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,14,27,9,1,51
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,3,12,51,15,1,82
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,2,1,0,5
AYO AYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,0,9,4,3,17
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,7,16,18,1,42
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,12,6,3,24
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,0,0,0,3
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,5,29,16,8,58
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,23,63,18,106
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,5,18,1,0,25
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,4,21,11,0,36
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,1,0,2
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,1,16,8,2,27
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,0,1,2
CALACOTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,2,2,4,8
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,1,31,11,5,48
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,1,18,13,0,33
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,3,3,1,7
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,5,3,0,8
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,4,10,67,31,5,117
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,0,0,1
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,9,88,34,0,131
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,10,69,35,20,135
CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,2,0,0,2
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,12,10,0,25
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,4,2,0,8
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,15,7,2,26
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,5,6,2,13
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,4,21,5,3,34
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,13,3,0,19
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,1,6,4,0,12
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,2,0,0,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,6,5,2,13
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,7,3,2,14
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,6,0,0,9
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,0,5,0,5
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,7,43,9,2,61
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,1,10,68,28,10,117
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,54,384,1951,2009,457,4855
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,54,16,19,91
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,2,0,0,2
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,11,4,1,16
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,3,0,0,3
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,1,4,3,1,9
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,4,1,1,6
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,2,14,7,3,26
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,3,4,0,0,7
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,1,0,2
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,0,0,1
CORO CORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,1,2,0,3
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,0,0,3,0,3
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,1,2,4,5,12
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con muestras de pap tomadas,2015-01-01,0,13,69,31,4,117
