municipality,group,variable,month,Número de condones entregados,Número de condones entregados1,Número de condones entregados2,Número de condones entregados3,Número de condones entregados4,TOTAL
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,24,12,0,36
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,49,0,0,49
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,36,51,12,0,99
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,0,0,36
ALALAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,12,0,0,24
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,84,12,0,108
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,12,12,72,24,0,120
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,24,14,0,38
ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,24,0,60
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,24,36,0,60
APOLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,39,12,0,51
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,156,48,0,216
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,24,48,0,72
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,48,192,12,0,252
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,84,12,0,96
AUCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
AYATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,24,12,0,36
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,108,24,12,144
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,36,24,24,0,84
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,0,12,0,12
BELEN DE URMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,12,0,48
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,48,60,24,0,132
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,20,276,120,24,440
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,36,84,36,12,168
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,36,0,48
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,36,24,0,72
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,0,36,0,36
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,48,144,60,0,252
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,12,288,1104,252,0,1656
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,48,12,0,60
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,72,0,0,72
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,144,36,12,192
CALACOTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,12,0,24
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,36,108,60,0,204
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,60,12,0,72
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,72,36,0,108
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,60,24,0,96
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,36,132,24,0,192
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,24,12,0,36
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,84,36,0,120
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,48,276,120,12,456
CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,20,56,20,0,96
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,84,0,0,84
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,12,0,48
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,60,192,108,0,360
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,12,0,48
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,48,24,0,84
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,120,780,252,0,1152
CHIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,0,24,0,24
CHUA COCANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,3,0,0,3
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,24,72,0,0,96
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,0,12,0,12
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,48,24,0,0,72
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,12,0,48
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,24,132,12,12,180
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,265,24,0,289
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,84,12,0,108
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,232,1661,338,396,2627
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,24,0,0,36
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,240,36,0,276
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,24,192,84,12,312
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,84,12,0,108
COLPA BELGICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,24,48,24,0,96
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,96,528,132,0,756
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,24,36,24,12,0,96
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,24,84,12,0,120
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,48,0,0,48
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,36,12,0,48
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,108,60,0,180
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,24,24,24,0,72
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,192,60,0,252
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,96,300,72,0,468
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,72,36,0,120
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,48,0,0,48
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,84,12,0,96
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,12,48,96,24,12,192
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,24,24,0,60
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,0,12,0,12
DESAGUADERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,0,12,0,0,12
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,12,688,8357,3601,0,12658
EL CHORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2015-01-01,0,12,24,36,0,72
