municipality,group,variable,month,Número de implantes insertados,Número de implantes insertados1,Número de implantes insertados2,Número de implantes insertados3,Número de implantes insertados4,TOTAL
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,6,1,0,8
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,3,0,0,5
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,5,0,0,5
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,1,1,10,0,0,12
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,0,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,10,15,1,0,26
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,1,16,185,19,0,221
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,3,0,0,4
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,7,2,0,9
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,14,118,44,0,176
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,2,0,0,0,0,2
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,0,0,0,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,1,3,0,5
INGAVI (HUMAITA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,2,0,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,23,174,12,0,209
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,0,1,0,1
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,1,0,3
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,4,1,0,6
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,7,0,0,7
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,11,63,6,0,80
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,0,0,0,1
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,0,0,2
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,1,0,3
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,4,0,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,3,58,2,0,63
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,2,0,0,4
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,4,1,0,7
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,4,1,0,6
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,2,0,0,4
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,6,14,0,21
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,3,0,0,3
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,194,100,0,295
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,0,1,0,1
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,0,0,0,1
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,10,82,4,0,96
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,9,81,19,0,109
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,9,44,11,0,64
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,10,1,0,12
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,14,6,0,22
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,2,0,0,2
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,2,2,1,0,5
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,4,0,0,4
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,0,1,0,0,1
YANACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-01-01,0,1,7,1,0,9
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,3,0,5
ALTO BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,3,0,0,3
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,2,8,1,0,11
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,3,3,1,0,7
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,4,1,0,5
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,3,0,0,3
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,4,2,0,7
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,7,18,1,0,26
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,4,55,8,0,67
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,3,4,0,8
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,15,112,15,0,142
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,7,10,12,6,0,35
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,1,1,4,0,0,6
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,12,4,0,16
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,0,0,2
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,1,0,3
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,3,0,0,4
INGAVI (HUMAITA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,3,7,1,0,11
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,23,126,14,0,163
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,1,0,0,1
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,7,1,0,9
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,5,59,5,0,69
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,8,51,6,0,65
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,3,0,0,4
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,7,1,0,9
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,2,1,0,4
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,4,3,0,7
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,2,1,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,9,150,73,0,232
SANTIAGO DE HUARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,0,0,2
SORATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,7,0,0,7
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,6,51,9,0,66
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,1,2,0,3
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,0,0,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,25,12,0,37
TURCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,0,1,0,1
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,2,6,0,8
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,0,1,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,1,1,0,3
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,10,2,0,13
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-02-01,0,1,2,0,0,3
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de implantes insertados,2015-03-01,0,0,7,2,0,9
