municipality,group,variable,month,AQV masculino,AQV masculino1,AQV masculino2,AQV masculino3,AQV masculino4,TOTAL
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-01-01,0,0,2,1,0,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-01-01,0,0,8,0,0,8
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-01-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-01-01,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-01-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-02-01,0,0,0,2,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-02-01,0,0,4,0,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-02-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-02-01,0,0,13,4,1,18
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-02-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-03-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-03-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-03-01,0,0,4,0,0,4
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-03-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-03-01,0,0,0,5,0,5
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-03-01,0,0,12,10,0,22
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-04-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-04-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-04-01,0,0,4,0,0,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-04-01,0,0,1,1,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-05-01,0,0,1,11,0,12
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-05-01,0,0,6,0,0,6
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-05-01,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-05-01,0,0,0,1,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-05-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,2,0,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,10,5,1,16
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,0,1,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,25,21,5,51
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,1,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-06-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,0,0,2,0,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,0,3,0,0,3
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,0,1,2,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,0,72,19,0,91
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,0,4,1,0,5
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-07-01,0,16,0,0,0,16
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-08-01,0,0,5,0,0,5
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-08-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-08-01,0,2,3,1,0,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-08-01,0,0,3,1,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-08-01,0,0,10,0,0,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-08-01,0,0,4,0,19,23
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,1,12,12,6,31
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,0,3,0,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,0,0,3,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,0,3,0,0,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,0,2,5,2,9
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-09-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,3,1,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,4,0,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,0,4,0,4
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,1,0,0,1
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,0,3,0,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-10-01,0,0,2,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-11-01,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-11-01,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-11-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-11-01,0,0,0,1,0,1
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-11-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-11-01,0,0,0,2,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,4,0,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,0,1,0,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,13,5,0,18
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2015-12-01,0,0,1,0,0,1
