municipality,group,variable,month,Número de mujeres con IVAA,Número de mujeres con IVAA1,Número de mujeres con IVAA2,Número de mujeres con IVAA3,Número de mujeres con IVAA4,TOTAL
ANTEQUERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,1,1,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,1,0,6,1,1,9
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,3,0,0,0,3
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,4,1,0,5
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,10,0,0,10
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,0,1,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,4,3,0,7
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,3,10,55,23,4,95
CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,2,0,0,2
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,2,0,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,2,0,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,1,9,45,22,10,87
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,3,93,201,976,331,1604
COIPASA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,2,0,0,2
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,3,133,154,121,411
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,1,1,5,0,7
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,0,2,0,2
ESCOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,1,3,1,2,7
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa,2015-01-01,0,0,1,1,2,4
