municipality,group,variable,month,N° de CAI de establecimiento,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,8,8
ACHOCALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,10,10
AIQUILE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
ANCORAIMES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
ANDAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
APOLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
ARAMPAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
AYATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
AYO AYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
BATALLAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,20,20
BOLPEBRA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,9,9
CAJUATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
CALAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
CAPINOTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
CARANAVI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
CARAPARI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CARIPUYO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CATACORA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CHACARILLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
CHAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CHARAGUA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
COCHABAMBA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,12,12
"COLCHA ""K""",actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
COLQUECHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
COLQUENCHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
COMBAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CORIPATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
CORO CORO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
COROICO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
CORQUE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
COTAGAITA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
COTOCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,9,9
CUEVO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
CURVA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,34,34
EL TORNO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
ESCOMA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,8,8
GUAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
GUTIERREZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
HUACHACALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
HUANUNI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
HUARINA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
HUATAJATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
HUMANATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
ICHOCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
IXIAMAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
LA ASUNTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
LA GUARDIA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,24,24
LAJA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,6,6
LLICA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
LURIBAY,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,6,6
MACHACAMARCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
MALLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
MAPIRI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
MINEROS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
MOCOMOCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
MONTERO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
NAZACARA DE PACAJES,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
OCURI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,6,6
PADILLA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
PALCA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,9,9
PALOS BLANCOS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,10,10
PAPEL PAMPA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
PATACAMAYA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
PAZÑA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
PELECHUCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,6,6
POCOATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,14,14
POOPO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,6,6
PORCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
PORONGO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
PUCARANI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
PUERTO PEREZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
PUERTO RICO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
PUNA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
PUNATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
QUIME,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
RIBERALTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,7,7
ROBORE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
SACABA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN AGUSTIN,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
SAN IGNACIO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN JAVIER(STC),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
SAN LUCAS,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,4,4
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,7,7
SAN PEDRO,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,9,9
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,7,7
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,34,34
SANTA ROSA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
SENA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
SORATA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
TAHUA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,3,3
TEOPONTE,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,1,1
TIAHUANACU,actividades del establecimiento y con la comunidad,n de cai de establecimiento,2023-01-01,5,5
