municipality,group,variable,month,Nº de certificados únicos para casos de violencia (Ley 348),TOTAL
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
APOLO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,3,3
ARQUE,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
BATALLAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,5,5
CABEZAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,23,23
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,3,3
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,3,3
CKOCHAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
COLQUENCHA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,5,5
EL ALTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,18,18
HUACARETA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
ICLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
LLICA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
ORURO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
PAZÑA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
PRESTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,3,3
PUERTO RICO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
QUIABAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
SAN LUCAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,8,8
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
TARABUCO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
TARIJA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
TARVITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
TIAHUANACU,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
TORO TORO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,1,1
UNCIA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,4,4
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,2,2
YACO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,3,3
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-01-01,3,3
ACACIO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,4,4
AYATA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,3,3
BELLA FLOR,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,10,10
CAIROMA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,7,7
CAMARGO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,8,8
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,2,2
COBIJA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
COPACABANA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,17,17
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,27,27
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
HUACARETA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
ICLA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,2,2
INCAHUASI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,3,3
LA PAZ,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,3,3
LAS CARRERAS,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
OCURI,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,7,7
PADCAYA,actividades del establecimiento y con la comunidad,no de certificados unicos para casos de violencia (ley 348),2023-02-01,1,1
