municipality,group,variable,month,Nº de reuniones realizadas con Comités Loc. de Salud,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,3,3
ACHOCALLA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
ARBIETO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
ATOCHA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
BAURES,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,5,5
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,28,28
BOLPEBRA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
BUENA VISTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
CAIROMA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,9,9
CAJUATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,7,7
CAPINOTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
CARACOLLO,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,3,3
CHALLAPATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CHAQUI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,3,3
CHAYANTA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CHIMORE,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,6,6
CHUMA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
CKOCHAS,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,13,13
CLIZA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
COCAPATA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,2,2
COCHABAMBA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,4,4
COIPASA,actividades del establecimiento y con la comunidad,no de reuniones realizadas con comites loc. de salud,2023-01-01,1,1
