municipality,group,variable,month,N°de beneficiarios(as) (niño/as) con educación en Salud Oral,TOTAL
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,644,644
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,33,33
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,28,28
ARANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,15,15
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,81,81
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,39,39
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,1,1
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,211,211
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,10,10
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,15,15
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,39,39
CAJUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,74,74
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,1,1
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,23,23
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,247,247
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,79,79
CARIPUYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,3,3
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,46,46
CATACORA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,3,3
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,158,158
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,220,220
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,107,107
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,39,39
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,9,9
COROICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) (nino/as) con educacion en salud oral,2023-01-01,101,101
