municipality,group,variable,month,N°de visitas familiares planificadas,TOTAL
ACHACACHI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,289,289
ACHOCALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,75,75
AIQUILE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,56,56
ALALAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,84,84
ALCALA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,42,42
ALTO BENI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,77,77
ANCORAIMES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,109,109
ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,72,72
ANTEQUERA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,70,70
ANZALDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,157,157
APOLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,49,49
ARAMPAMPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,56,56
ARANI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,159,159
ARBIETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,113,113
ARQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,67,67
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,65,65
ATOCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,248,248
AYATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,20,20
AYO AYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,72,72
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,175,175
AZURDUY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,237,237
BATALLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,10,10
BAURES,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,20,20
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,66,66
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,24,24
BELLA FLOR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,19,19
BERMEJO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,204,204
BETANZOS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,529,529
BOLIVAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,44,44
BOLPEBRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,44,44
BUENA VISTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,88,88
CABEZAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,49,49
CAIROMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,6,6
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,65,65
CAJUATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,5,5
CALAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,69,69
CAMARGO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,135,135
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,94,94
CAMIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,310,310
CAPINOTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,50,50
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,113,113
CARACOLLO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,198,198
CARANAVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,20,20
CARAPARI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,69,69
CARIPUYO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,15,15
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,30,30
CHACARILLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,190,190
CHALLAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,613,613
CHAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,57,57
CHARAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,27,27
CHAYANTA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,4,4
CHIMORE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,211,211
CHIPAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,61,61
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,32,32
CHUMA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,187,187
CKOCHAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,91,91
CLIZA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,207,207
COBIJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,77,77
COCAPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,7,7
COCHABAMBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,188,188
COIPASA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,15,15
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,257,257
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,112,112
COLLANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,58,58
COLOMI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,27,27
COLPA BELGICA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,6,6
COLQUECHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,73,73
COLQUENCHA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,89,89
COLQUIRI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,49,49
COMANCHE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,24,24
COMARAPA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,565,565
COMBAYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,199,199
CONCEPCION,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,68,68
COPACABANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,8,8
CORIPATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,50,50
CORO CORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,80,80
COROICO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,94,94
CORQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,60,60
COTAGAITA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,599,599
COTOCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,83,83
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,238,238
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,40,40
CUEVO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,65,65
CULPINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,105,105
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,114,114
CURVA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,54,54
DESAGUADERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,25,25
EL ALTO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,2460,2460
EL CHORO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,8,8
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,68,68
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,220,220
EL TORNO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,412,412
EL VILLAR,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,124,124
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,273,273
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,43,43
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,102,102
FILADELFIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,20,20
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,5,5
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,217,217
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,34,34
GUANAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,37,37
GUAQUI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,47,47
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,350,350
GUTIERREZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,15,15
HUACARAJE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,38,38
HUACARETA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,280,280
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,109,109
HUACHACALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,8,8
HUANUNI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,122,122
HUARINA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,105,105
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,116,116
HUMANATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,3,3
ICHOCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,90,90
ICLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,143,143
INCAHUASI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,264,264
INGAVI (HUMAITA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,8,8
INQUISIVI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,75,75
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,70,70
IXIAMAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,25,25
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,71,71
LA GUARDIA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,100,100
LA PAZ,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,9,9
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,299,299
LAJA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,105,105
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,25,25
LLALLAGUA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,176,176
LLICA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,350,350
LORETO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,90,90
LURIBAY,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,35,35
MACHACAMARCA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,37,37
MACHARETI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,132,132
MAGDALENA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,115,115
MAIRANA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,63,63
MALLA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,72,72
MECAPACA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,146,146
MINEROS,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,132,132
MIZQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,249,249
MOCOMOCO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,396,396
MOJINETE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,46,46
MOJOCOYA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,137,137
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,510,510
MONTERO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,427,427
MOROCHATA,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,197,197
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,12,12
OCURI,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,71,71
OMEREQUE,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,209,209
ORURO,actividades del establecimiento y con la comunidad,nde visitas familiares planificadas,2023-01-01,550,550
