municipality,group,variable,month,Nº de quejas y reclamos realizadas por los usuarios,TOTAL
ACHOCALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,12,12
BERMEJO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,3,3
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,7,7
CLIZA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
"COLCHA ""K""",actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,2,2
LA ASUNTA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
LA PAZ,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,30,30
MAGDALENA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,15,15
MALLA,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,4,4
ORURO,actividades del establecimiento y con la comunidad,no de quejas y reclamos realizadas por los usuarios,2023-01-01,15,15
