municipality,group,variable,month,Nº de actividades educativas en Salud,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,33,33
ACHOCALLA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,162,162
AIQUILE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,34,34
ALALAY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,5,5
ALCALA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,20,20
ALTO BENI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,12,12
ANCORAIMES,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,16,16
ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,16,16
ANZALDO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,26,26
APOLO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,1,1
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,7,7
ARANI,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,9,9
ARBIETO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,5,5
ARQUE,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,2,2
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,22,22
ATOCHA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,4,4
AYATA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,1,1
AYO AYO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,21,21
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,5,5
AZURDUY,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,30,30
BATALLAS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,24,24
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,15,15
BELLA FLOR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,5,5
BERMEJO,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,23,23
BETANZOS,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,64,64
BOLIVAR,actividades del establecimiento y con la comunidad,no de actividades educativas en salud,2023-01-01,13,13
