municipality,group,variable,month,Nº de visitas familiares realizadas,TOTAL
ACACIO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,61,61
ACHACACHI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,320,320
ACHOCALLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,286,286
AIQUILE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,109,109
ALALAY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,158,158
ALCALA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,42,42
ALTO BENI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,84,84
ANCORAIMES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,179,179
ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,131,131
ANTEQUERA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,54,54
ANZALDO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,233,233
APOLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,20,20
ARAMPAMPA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,92,92
ARANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,151,151
ARBIETO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,213,213
ARQUE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,162,162
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,64,64
ATOCHA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,324,324
AYATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,33,33
AYO AYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,45,45
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,143,143
AZURDUY,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,234,234
BATALLAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,87,87
BAURES,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,6,6
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,118,118
BELEN DE URMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,52,52
BELLA FLOR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,51,51
BERMEJO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,249,249
BETANZOS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,491,491
BOLIVAR,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,107,107
BOLPEBRA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,30,30
BOYUIBE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,283,283
BUENA VISTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,78,78
CABEZAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,57,57
CAIROMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,58,58
"CAIZA ""D""",actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,401,401
CAJUATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,37,37
CALACOTO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,243,243
CALAMARCA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,62,62
CAMARGO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,135,135
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,94,94
CAMIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,252,252
CAPINOTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,89,89
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,105,105
CARACOLLO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,259,259
CARANAVI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,94,94
CARAPARI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,219,219
CARIPUYO,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,166,166
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,20,20
CATACORA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,35,35
CHACARILLA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,175,175
CHALLAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,659,659
CHAQUI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,292,292
CHARAGUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,62,62
CHARAÑA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,15,15
CHAYANTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,70,70
CHIMORE,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,174,174
CHIPAYA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,87,87
CHOQUE COTA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,11,11
CHUA COCANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,28,28
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,34,34
CHUMA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,307,307
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,39,39
CKOCHAS,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,200,200
CLIZA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,174,174
COBIJA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,82,82
COCAPATA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,13,13
COCHABAMBA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,349,349
COIPASA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,2,2
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de visitas familiares realizadas,2023-01-01,348,348
