municipality,group,variable,month,Curaciones y/o suturas,TOTAL
ACACIO,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,12,12
ACHACACHI,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,243,243
ACHOCALLA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,125,125
AIQUILE,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,226,226
ALALAY,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,3,3
ALCALA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,22,22
ALTO BENI,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,141,141
ANCORAIMES,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,29,29
ANDAMARCA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,59,59
ANTEQUERA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,13,13
ANZALDO,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,49,49
APOLO,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,96,96
ARAMPAMPA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,23,23
ARANI,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,115,115
ARBIETO,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,119,119
ARQUE,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,59,59
ASCENCION DE GUARAYOS,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,570,570
ATOCHA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,307,307
AUCAPATA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,42,42
AYATA,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,54,54
AYO AYO,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,64,64
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,127,127
AZURDUY,otras actividades de enfermeria,curaciones y/o suturas,2021-01-01,120,120
