municipality,group,variable,month,Otras actividades,TOTAL
ACACIO,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
ACHACACHI,otras actividades de enfermeria,otras actividades,2021-01-01,69,69
ACHOCALLA,otras actividades de enfermeria,otras actividades,2021-01-01,17,17
AIQUILE,otras actividades de enfermeria,otras actividades,2021-01-01,738,738
ALCALA,otras actividades de enfermeria,otras actividades,2021-01-01,84,84
ALTO BENI,otras actividades de enfermeria,otras actividades,2021-01-01,19,19
ANCORAIMES,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
ANDAMARCA,otras actividades de enfermeria,otras actividades,2021-01-01,137,137
ANTEQUERA,otras actividades de enfermeria,otras actividades,2021-01-01,73,73
ANZALDO,otras actividades de enfermeria,otras actividades,2021-01-01,34,34
APOLO,otras actividades de enfermeria,otras actividades,2021-01-01,1615,1615
ARAMPAMPA,otras actividades de enfermeria,otras actividades,2021-01-01,10,10
ARANI,otras actividades de enfermeria,otras actividades,2021-01-01,13,13
ARBIETO,otras actividades de enfermeria,otras actividades,2021-01-01,1,1
ARQUE,otras actividades de enfermeria,otras actividades,2021-01-01,7,7
ASCENCION DE GUARAYOS,otras actividades de enfermeria,otras actividades,2021-01-01,459,459
ATOCHA,otras actividades de enfermeria,otras actividades,2021-01-01,5734,5734
AYATA,otras actividades de enfermeria,otras actividades,2021-01-01,8,8
AYO AYO,otras actividades de enfermeria,otras actividades,2021-01-01,6,6
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,otras actividades,2021-01-01,201,201
AZURDUY,otras actividades de enfermeria,otras actividades,2021-01-01,318,318
BATALLAS,otras actividades de enfermeria,otras actividades,2021-01-01,7,7
BAURES,otras actividades de enfermeria,otras actividades,2021-01-01,103,103
BELEN DE ANDAMARCA,otras actividades de enfermeria,otras actividades,2021-01-01,4,4
BELLA FLOR,otras actividades de enfermeria,otras actividades,2021-01-01,70,70
BERMEJO,otras actividades de enfermeria,otras actividades,2021-01-01,56871,56871
BETANZOS,otras actividades de enfermeria,otras actividades,2021-01-01,245,245
BOLIVAR,otras actividades de enfermeria,otras actividades,2021-01-01,18,18
BOLPEBRA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
BUENA VISTA,otras actividades de enfermeria,otras actividades,2021-01-01,9,9
CABEZAS,otras actividades de enfermeria,otras actividades,2021-01-01,70,70
CAIROMA,otras actividades de enfermeria,otras actividades,2021-01-01,7,7
"CAIZA ""D""",otras actividades de enfermeria,otras actividades,2021-01-01,757,757
CAJUATA,otras actividades de enfermeria,otras actividades,2021-01-01,59,59
CALACOTO,otras actividades de enfermeria,otras actividades,2021-01-01,5,5
CALAMARCA,otras actividades de enfermeria,otras actividades,2021-01-01,3,3
CAMARGO,otras actividades de enfermeria,otras actividades,2021-01-01,4589,4589
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,otras actividades,2021-01-01,5,5
CAMIRI,otras actividades de enfermeria,otras actividades,2021-01-01,6097,6097
CAPINOTA,otras actividades de enfermeria,otras actividades,2021-01-01,61,61
CAQUIAVIRI,otras actividades de enfermeria,otras actividades,2021-01-01,32,32
