municipality,group,variable,month,Sueros,TOTAL
ACACIO,otras actividades de enfermeria,sueros,2021-01-01,10,10
ACHACACHI,otras actividades de enfermeria,sueros,2021-01-01,175,175
ACHOCALLA,otras actividades de enfermeria,sueros,2021-01-01,8,8
AIQUILE,otras actividades de enfermeria,sueros,2021-01-01,75,75
ALALAY,otras actividades de enfermeria,sueros,2021-01-01,2,2
ALCALA,otras actividades de enfermeria,sueros,2021-01-01,7,7
ALTO BENI,otras actividades de enfermeria,sueros,2021-01-01,28,28
ANCORAIMES,otras actividades de enfermeria,sueros,2021-01-01,6,6
ANDAMARCA,otras actividades de enfermeria,sueros,2021-01-01,23,23
ANTEQUERA,otras actividades de enfermeria,sueros,2021-01-01,1,1
ANZALDO,otras actividades de enfermeria,sueros,2021-01-01,26,26
APOLO,otras actividades de enfermeria,sueros,2021-01-01,36,36
ARAMPAMPA,otras actividades de enfermeria,sueros,2021-01-01,3,3
ARANI,otras actividades de enfermeria,sueros,2021-01-01,2,2
ARBIETO,otras actividades de enfermeria,sueros,2021-01-01,3,3
ARQUE,otras actividades de enfermeria,sueros,2021-01-01,9,9
ASCENCION DE GUARAYOS,otras actividades de enfermeria,sueros,2021-01-01,506,506
ATOCHA,otras actividades de enfermeria,sueros,2021-01-01,390,390
AUCAPATA,otras actividades de enfermeria,sueros,2021-01-01,5,5
AYATA,otras actividades de enfermeria,sueros,2021-01-01,10,10
AYO AYO,otras actividades de enfermeria,sueros,2021-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,sueros,2021-01-01,98,98
AZURDUY,otras actividades de enfermeria,sueros,2021-01-01,102,102
BATALLAS,otras actividades de enfermeria,sueros,2021-01-01,2,2
BAURES,otras actividades de enfermeria,sueros,2021-01-01,110,110
BELEN DE ANDAMARCA,otras actividades de enfermeria,sueros,2021-01-01,5,5
BELLA FLOR,otras actividades de enfermeria,sueros,2021-01-01,15,15
BERMEJO,otras actividades de enfermeria,sueros,2021-01-01,2994,2994
BETANZOS,otras actividades de enfermeria,sueros,2021-01-01,54,54
BOLIVAR,otras actividades de enfermeria,sueros,2021-01-01,4,4
