municipality,group,variable,month,Inyectables,TOTAL
ACACIO,otras actividades de enfermeria,inyectables,2021-01-01,276,276
ACHACACHI,otras actividades de enfermeria,inyectables,2021-01-01,1124,1124
ACHOCALLA,otras actividades de enfermeria,inyectables,2021-01-01,320,320
AIQUILE,otras actividades de enfermeria,inyectables,2021-01-01,1043,1043
ALALAY,otras actividades de enfermeria,inyectables,2021-01-01,61,61
ALCALA,otras actividades de enfermeria,inyectables,2021-01-01,244,244
ALTO BENI,otras actividades de enfermeria,inyectables,2021-01-01,696,696
ANCORAIMES,otras actividades de enfermeria,inyectables,2021-01-01,193,193
ANDAMARCA,otras actividades de enfermeria,inyectables,2021-01-01,282,282
ANTEQUERA,otras actividades de enfermeria,inyectables,2021-01-01,80,80
ANZALDO,otras actividades de enfermeria,inyectables,2021-01-01,250,250
APOLO,otras actividades de enfermeria,inyectables,2021-01-01,848,848
ARAMPAMPA,otras actividades de enfermeria,inyectables,2021-01-01,127,127
ARANI,otras actividades de enfermeria,inyectables,2021-01-01,142,142
ARBIETO,otras actividades de enfermeria,inyectables,2021-01-01,262,262
ARQUE,otras actividades de enfermeria,inyectables,2021-01-01,198,198
ASCENCION DE GUARAYOS,otras actividades de enfermeria,inyectables,2021-01-01,6199,6199
ATOCHA,otras actividades de enfermeria,inyectables,2021-01-01,4752,4752
AUCAPATA,otras actividades de enfermeria,inyectables,2021-01-01,193,193
AYATA,otras actividades de enfermeria,inyectables,2021-01-01,212,212
AYO AYO,otras actividades de enfermeria,inyectables,2021-01-01,85,85
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria,inyectables,2021-01-01,975,975
AZURDUY,otras actividades de enfermeria,inyectables,2021-01-01,1085,1085
BATALLAS,otras actividades de enfermeria,inyectables,2021-01-01,254,254
BAURES,otras actividades de enfermeria,inyectables,2021-01-01,1136,1136
BELEN DE ANDAMARCA,otras actividades de enfermeria,inyectables,2021-01-01,98,98
BELEN DE URMIRI,otras actividades de enfermeria,inyectables,2021-01-01,49,49
BELLA FLOR,otras actividades de enfermeria,inyectables,2021-01-01,286,286
BERMEJO,otras actividades de enfermeria,inyectables,2021-01-01,9690,9690
BETANZOS,otras actividades de enfermeria,inyectables,2021-01-01,1461,1461
BOLIVAR,otras actividades de enfermeria,inyectables,2021-01-01,115,115
BOLPEBRA,otras actividades de enfermeria,inyectables,2021-01-01,123,123
BOYUIBE,otras actividades de enfermeria,inyectables,2021-01-01,210,210
BUENA VISTA,otras actividades de enfermeria,inyectables,2021-01-01,593,593
CABEZAS,otras actividades de enfermeria,inyectables,2021-01-01,2354,2354
CAIROMA,otras actividades de enfermeria,inyectables,2021-01-01,252,252
"CAIZA ""D""",otras actividades de enfermeria,inyectables,2021-01-01,541,541
CAJUATA,otras actividades de enfermeria,inyectables,2021-01-01,486,486
CALACOTO,otras actividades de enfermeria,inyectables,2021-01-01,201,201
CALAMARCA,otras actividades de enfermeria,inyectables,2021-01-01,133,133
CAMARGO,otras actividades de enfermeria,inyectables,2021-01-01,1994,1994
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria,inyectables,2021-01-01,218,218
CAMIRI,otras actividades de enfermeria,inyectables,2021-01-01,5249,5249
CAPINOTA,otras actividades de enfermeria,inyectables,2021-01-01,698,698
CAQUIAVIRI,otras actividades de enfermeria,inyectables,2021-01-01,237,237
CARACOLLO,otras actividades de enfermeria,inyectables,2021-01-01,643,643
CARANAVI,otras actividades de enfermeria,inyectables,2021-01-01,1459,1459
CARANGAS,otras actividades de enfermeria,inyectables,2021-01-01,56,56
CARAPARI,otras actividades de enfermeria,inyectables,2021-01-01,1471,1471
CARIPUYO,otras actividades de enfermeria,inyectables,2021-01-01,145,145
CARMEN RIVERO TORREZ,otras actividades de enfermeria,inyectables,2021-01-01,859,859
CATACORA,otras actividades de enfermeria,inyectables,2021-01-01,81,81
CHACARILLA,otras actividades de enfermeria,inyectables,2021-01-01,33,33
CHALLAPATA,otras actividades de enfermeria,inyectables,2021-01-01,825,825
CHAQUI,otras actividades de enfermeria,inyectables,2021-01-01,412,412
CHARAGUA,otras actividades de enfermeria,inyectables,2021-01-01,1752,1752
CHARAÑA,otras actividades de enfermeria,inyectables,2021-01-01,53,53
CHAYANTA,otras actividades de enfermeria,inyectables,2021-01-01,299,299
CHIMORE,otras actividades de enfermeria,inyectables,2021-01-01,843,843
CHIPAYA,otras actividades de enfermeria,inyectables,2021-01-01,36,36
CHOQUE COTA,otras actividades de enfermeria,inyectables,2021-01-01,104,104
