municipality,group,variable,month,Vaginales,TOTAL
ACACIO,atencion de partos en servicio,vaginales,2008-01-01,2,2
ACHACACHI,atencion de partos en servicio,vaginales,2008-01-01,19,19
ACHOCALLA,atencion de partos en servicio,vaginales,2008-01-01,5,5
AIQUILE,atencion de partos en servicio,vaginales,2008-01-01,21,21
ALALAY,atencion de partos en servicio,vaginales,2008-01-01,4,4
ALCALA,atencion de partos en servicio,vaginales,2008-01-01,2,2
ANCORAIMES,atencion de partos en servicio,vaginales,2008-01-01,1,1
ANDAMARCA,atencion de partos en servicio,vaginales,2008-01-01,2,2
ANTEQUERA,atencion de partos en servicio,vaginales,2008-01-01,2,2
ANZALDO,atencion de partos en servicio,vaginales,2008-01-01,3,3
APOLO,atencion de partos en servicio,vaginales,2008-01-01,11,11
ARAMPAMPA,atencion de partos en servicio,vaginales,2008-01-01,2,2
ARANI,atencion de partos en servicio,vaginales,2008-01-01,2,2
ARBIETO,atencion de partos en servicio,vaginales,2008-01-01,5,5
ARQUE,atencion de partos en servicio,vaginales,2008-01-01,4,4
ASCENCION DE GUARAYOS,atencion de partos en servicio,vaginales,2008-01-01,45,45
ATOCHA,atencion de partos en servicio,vaginales,2008-01-01,11,11
AYATA,atencion de partos en servicio,vaginales,2008-01-01,2,2
AYO AYO,atencion de partos en servicio,vaginales,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,vaginales,2008-01-01,24,24
AZURDUY,atencion de partos en servicio,vaginales,2008-01-01,3,3
BATALLAS,atencion de partos en servicio,vaginales,2008-01-01,5,5
BAURES,atencion de partos en servicio,vaginales,2008-01-01,3,3
BERMEJO,atencion de partos en servicio,vaginales,2008-01-01,33,33
BETANZOS,atencion de partos en servicio,vaginales,2008-01-01,24,24
BOLIVAR,atencion de partos en servicio,vaginales,2008-01-01,1,1
BOLPEBRA,atencion de partos en servicio,vaginales,2008-01-01,1,1
BOYUIBE,atencion de partos en servicio,vaginales,2008-01-01,5,5
BUENA VISTA,atencion de partos en servicio,vaginales,2008-01-01,19,19
CABEZAS,atencion de partos en servicio,vaginales,2008-01-01,12,12
CAIROMA,atencion de partos en servicio,vaginales,2008-01-01,3,3
"CAIZA ""D""",atencion de partos en servicio,vaginales,2008-01-01,2,2
CAJUATA,atencion de partos en servicio,vaginales,2008-01-01,6,6
CALAMARCA,atencion de partos en servicio,vaginales,2008-01-01,2,2
CAMARGO,atencion de partos en servicio,vaginales,2008-01-01,21,21
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,vaginales,2008-01-01,4,4
CAMIRI,atencion de partos en servicio,vaginales,2008-01-01,51,51
CAPINOTA,atencion de partos en servicio,vaginales,2008-01-01,21,21
CAQUIAVIRI,atencion de partos en servicio,vaginales,2008-01-01,1,1
CARACOLLO,atencion de partos en servicio,vaginales,2008-01-01,16,16
CARANAVI,atencion de partos en servicio,vaginales,2008-01-01,55,55
CARAPARI,atencion de partos en servicio,vaginales,2008-01-01,9,9
CARIPUYO,atencion de partos en servicio,vaginales,2008-01-01,3,3
CARMEN RIVERO TORREZ,atencion de partos en servicio,vaginales,2008-01-01,2,2
CHALLAPATA,atencion de partos en servicio,vaginales,2008-01-01,25,25
CHARAGUA,atencion de partos en servicio,vaginales,2008-01-01,43,43
CHARAÑA,atencion de partos en servicio,vaginales,2008-01-01,4,4
CHAYANTA,atencion de partos en servicio,vaginales,2008-01-01,4,4
CHIMORE,atencion de partos en servicio,vaginales,2008-01-01,14,14
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,vaginales,2008-01-01,19,19
CLIZA,atencion de partos en servicio,vaginales,2008-01-01,12,12
COBIJA,atencion de partos en servicio,vaginales,2008-01-01,62,62
COCHABAMBA,atencion de partos en servicio,vaginales,2008-01-01,856,856
COIPASA,atencion de partos en servicio,vaginales,2008-01-01,1,1
COLCAPIRHUA,atencion de partos en servicio,vaginales,2008-01-01,26,26
