municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
BERMEJO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,2,2
CAMARGO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
CAMIRI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,2,2
CARANAVI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,4,4
COBIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
COCHABAMBA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,10,10
EL ALTO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,14,14
LA PAZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,13,13
MIZQUE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
MOJOCOYA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
MONTERO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,3,3
ORURO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,4,4
PADILLA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,3,3
PUERTO SUAREZ,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
QUILLACOLLO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
SAN CARLOS,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,2,2
SAN JULIAN,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
SAN PEDRO,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,0,0
SUCRE,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
TARIJA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,2,2
TARVITA,atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
TIRAQUE (CBBA),atencion de partos en servicio,nacidos muertos con peso menor a 2500g,2008-01-01,1,1
