municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ACHOCALLA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
AIQUILE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
BETANZOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,7,7
CAPINOTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,6,6
CHARAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,6,6
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,79,79
COLQUECHACA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
COROICO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
CULPINA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,72,72
EL PUENTE(TJA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
ENTRE RIOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
GUTIERREZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
HUACARETA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
INCAHUASI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
LA PAZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,108,108
LLALLAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
MAIRANA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
MOJOCOYA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
MONTEAGUDO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
MONTERO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,9,9
ORURO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,29,29
PALOS BLANCOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
PATACAMAYA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
PORCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
POROMA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
POTOSI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,15,15
PUERTO CARABUCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
PUERTO QUIJARRO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
PUNATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
QUILLACOLLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,9,9
ROBORE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
RURRENABAQUE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
SACABA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
SAN ANDRES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,9,9
SAN CARLOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
SAN IGNACIO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,6,6
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
SAN JULIAN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
SAN LUCAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,123,123
SUCRE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,19,19
TARABUCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
TARIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,22,22
TIPUANI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
TIRAQUE (CBBA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
TOCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
TOMAVE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
TRINIDAD,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,15,15
TUPIZA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
UYUNI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
VALLEGRANDE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
VILLA MONTES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
VILLA TUNARI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
VILLAZON,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,3,3
VINTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
WARNES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
YACUIBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,1,1
YAPACANI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-01-01,2,2
AIQUILE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
APOLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
ATOCHA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,3,3
AUCAPATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
BERMEJO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,3,3
CAMATAQUI (C. VILLA ABECIA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
CAQUIAVIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,3,3
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,6,6
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,75,75
COLOMI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
COMARAPA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
CONCEPCION,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
COTAGAITA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
CUATRO CAÑADAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,60,60
GUAYARAMERIN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,6,6
HUACARETA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
HUANUNI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
ICLA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
INCAHUASI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
LA ASUNTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
LA PAZ,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,102,102
LLALLAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
MIZQUE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
MONTEAGUDO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
MONTERO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,7,7
OCURI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
ORURO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,23,23
PADILLA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,5,5
PALOS BLANCOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
POTOSI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,28,28
PUCARANI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
PUERTO CARABUCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
PUERTO RICO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
PUERTO VILLARROEL,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,5,5
PUNATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,4,4
QUILLACOLLO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
REYES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
RIBERALTA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,4,4
ROBORE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,5,5
SACABA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,3,3
SACACA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
SAN ANDRES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
SAN BORJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,8,8
SAN CARLOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,4,4
SAN IGNACIO DE VELASCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
SAN JOSE DE CHIQUITOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
SAN JULIAN,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,3,3
SAN LUCAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
SAN MATIAS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
SANTA ANA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
SANTA CRUZ DE LA SIERRA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,108,108
SUCRE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,29,29
TARIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,26,26
TRINIDAD,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,19,19
TUPIZA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,5,5
UYUNI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
VILLA MONTES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,3,3
VILLA TUNARI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
VILLAZON,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,1,1
WARNES,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
YACUIBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,5,5
YOCALLA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-02-01,2,2
ASCENCION DE GUARAYOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,5,5
ATOCHA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
AYO AYO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
AZURDUY,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
BERMEJO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
BETANZOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,2,2
BOYUIBE,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
CAMARGO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,2,2
CAMIRI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,3,3
CARANAVI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
CHALLAPATA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
CHARAGUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,6,6
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
COBIJA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,7,7
COCHABAMBA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,96,96
COLCAPIRHUA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,4,4
COLOMI,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,2,2
COMARAPA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,4,4
COTOCA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,4,4
CULPINA,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
EL ALTO,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,60,60
ENTRE RIOS,atencion de partos en servicio,nacidos vivos con peso menor a 2500g,2008-03-01,1,1
