,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,l 9.1 talla normal,2011-01-01,46,60,25,25,33,32,104,117,221
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-01-01,266,229,181,145,135,113,582,487,1069
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-01-01,75,75,53,30,28,32,156,137,293
AIQUILE,estado nutricional,l 9.1 talla normal,2011-01-01,225,221,134,136,126,106,485,463,948
ALALAY,estado nutricional,l 9.1 talla normal,2011-01-01,29,28,20,22,12,11,61,61,122
ALCALA,estado nutricional,l 9.1 talla normal,2011-01-01,21,25,20,14,53,52,94,91,185
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-01-01,73,50,43,38,36,46,152,134,286
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-01-01,47,65,48,39,55,62,150,166,316
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-01-01,23,32,18,19,47,39,88,90,178
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-01-01,27,36,21,27,33,20,81,83,164
ANZALDO,estado nutricional,l 9.1 talla normal,2011-01-01,58,70,46,40,34,46,138,156,294
APOLO,estado nutricional,l 9.1 talla normal,2011-01-01,138,116,107,108,94,111,339,335,674
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-01-01,33,23,20,14,27,23,80,60,140
ARANI,estado nutricional,l 9.1 talla normal,2011-01-01,76,33,47,36,62,55,185,124,309
ARBIETO,estado nutricional,l 9.1 talla normal,2011-01-01,103,95,114,98,104,119,321,312,633
ARQUE,estado nutricional,l 9.1 talla normal,2011-01-01,113,123,85,97,87,72,285,292,577
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-01-01,43,46,15,14,14,18,72,78,150
ATOCHA,estado nutricional,l 9.1 talla normal,2011-01-01,65,98,52,55,73,69,190,222,412
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-01-01,26,13,20,15,4,10,50,38,88
AYATA,estado nutricional,l 9.1 talla normal,2011-01-01,59,54,49,63,41,39,149,156,305
AYO AYO,estado nutricional,l 9.1 talla normal,2011-01-01,59,54,54,41,23,17,136,112,248
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-01-01,196,168,145,122,125,118,466,408,874
AZURDUY,estado nutricional,l 9.1 talla normal,2011-01-01,105,84,53,65,116,109,274,258,532
BATALLAS,estado nutricional,l 9.1 talla normal,2011-01-01,110,100,73,92,77,72,260,264,524
BAURES,estado nutricional,l 9.1 talla normal,2011-01-01,28,20,17,17,30,23,75,60,135
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-01-01,11,15,11,10,13,5,35,30,65
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-01-01,3,10,9,14,7,7,19,31,50
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-01-01,8,10,7,23,23,21,38,54,92
BERMEJO,estado nutricional,l 9.1 talla normal,2011-01-01,173,151,135,153,61,63,369,367,736
BETANZOS,estado nutricional,l 9.1 talla normal,2011-01-01,254,260,165,180,191,186,610,626,1236
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-01-01,80,49,42,40,93,76,215,165,380
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-01-01,3,9,5,8,5,7,13,24,37
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-01-01,25,18,20,17,48,57,93,92,185
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-01-01,112,76,71,53,97,87,280,216,496
CABEZAS,estado nutricional,l 9.1 talla normal,2011-01-01,158,123,91,100,134,108,383,331,714
CAIROMA,estado nutricional,l 9.1 talla normal,2011-01-01,58,62,45,39,60,103,163,204,367
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-01-01,76,77,51,40,41,53,168,170,338
CAJUATA,estado nutricional,l 9.1 talla normal,2011-01-01,98,60,36,38,45,53,179,151,330
CALACOTO,estado nutricional,l 9.1 talla normal,2011-01-01,35,24,26,21,20,16,81,61,142
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-01-01,77,81,48,67,47,63,172,211,383
CAMARGO,estado nutricional,l 9.1 talla normal,2011-01-01,136,124,104,76,91,112,331,312,643
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.1 talla normal,2011-01-01,50,29,44,21,51,54,145,104,249
CAMIRI,estado nutricional,l 9.1 talla normal,2011-01-01,249,244,146,159,186,203,581,606,1187
CAPINOTA,estado nutricional,l 9.1 talla normal,2011-01-01,115,76,68,68,36,36,219,180,399
CAQUIAVIRI,estado nutricional,l 9.1 talla normal,2011-01-01,66,60,45,45,31,37,142,142,284
CARACOLLO,estado nutricional,l 9.1 talla normal,2011-01-01,181,176,128,153,95,119,404,448,852
CARANAVI,estado nutricional,l 9.1 talla normal,2011-01-01,400,394,284,291,189,187,873,872,1745
CARANGAS,estado nutricional,l 9.1 talla normal,2011-01-01,1,0,1,0,1,0,3,0,3
CARAPARI,estado nutricional,l 9.1 talla normal,2011-01-01,124,117,106,97,78,75,308,289,597
CARIPUYO,estado nutricional,l 9.1 talla normal,2011-01-01,61,55,52,40,46,43,159,138,297
CARMEN RIVERO TORREZ,estado nutricional,l 9.1 talla normal,2011-01-01,46,45,24,20,31,35,101,100,201
CATACORA,estado nutricional,l 9.1 talla normal,2011-01-01,2,4,3,4,3,2,8,10,18
CHACARILLA,estado nutricional,l 9.1 talla normal,2011-01-01,7,8,7,8,3,2,17,18,35
CHALLAPATA,estado nutricional,l 9.1 talla normal,2011-01-01,275,300,242,206,148,117,665,623,1288
CHAQUI,estado nutricional,l 9.1 talla normal,2011-01-01,60,43,38,45,32,40,130,128,258
CHARAGUA,estado nutricional,l 9.1 talla normal,2011-01-01,230,188,202,158,236,247,668,593,1261
CHARAÑA,estado nutricional,l 9.1 talla normal,2011-01-01,16,9,13,12,11,9,40,30,70
CHAYANTA,estado nutricional,l 9.1 talla normal,2011-01-01,101,101,53,63,34,43,188,207,395
CHIMORE,estado nutricional,l 9.1 talla normal,2011-01-01,212,169,174,142,153,152,539,463,1002
CHIPAYA,estado nutricional,l 9.1 talla normal,2011-01-01,19,14,12,12,1,1,32,27,59
CHOQUE COTA,estado nutricional,l 9.1 talla normal,2011-01-01,11,5,7,7,7,5,25,17,42
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.1 talla normal,2011-01-01,118,133,70,62,65,70,253,265,518
CHUMA,estado nutricional,l 9.1 talla normal,2011-01-01,77,67,45,42,30,30,152,139,291
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.1 talla normal,2011-01-01,56,47,43,37,20,18,119,102,221
CKOCHAS,estado nutricional,l 9.1 talla normal,2011-01-01,68,73,58,55,86,91,212,219,431
CLIZA,estado nutricional,l 9.1 talla normal,2011-01-01,200,163,143,112,127,124,470,399,869
COBIJA,estado nutricional,l 9.1 talla normal,2011-01-01,435,467,268,257,207,223,910,947,1857
COCAPATA,estado nutricional,l 9.1 talla normal,2011-01-01,103,118,79,75,78,76,260,269,529
COCHABAMBA,estado nutricional,l 9.1 talla normal,2011-01-01,3137,3001,2021,1832,1165,1146,6323,5979,12302
COIPASA,estado nutricional,l 9.1 talla normal,2011-01-01,6,5,8,11,4,7,18,23,41
