,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,,,
ACACIO,estado nutricional,l 9.2 talla baja,2011-01-01,15,17,27,18,39,49,81,84,165
ACHACACHI,estado nutricional,l 9.2 talla baja,2011-01-01,21,22,34,14,12,19,67,55,122
ACHOCALLA,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,6,2,5,1,12,3,15
AIQUILE,estado nutricional,l 9.2 talla baja,2011-01-01,21,23,42,29,36,42,99,94,193
ALALAY,estado nutricional,l 9.2 talla baja,2011-01-01,5,2,11,9,10,14,26,25,51
ALCALA,estado nutricional,l 9.2 talla baja,2011-01-01,3,3,6,3,17,22,26,28,54
ALTO BENI,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,1,7,3,5,6,14,20
ANCORAIMES,estado nutricional,l 9.2 talla baja,2011-01-01,14,15,20,13,15,13,49,41,90
ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-01-01,5,2,7,7,21,20,33,29,62
ANTEQUERA,estado nutricional,l 9.2 talla baja,2011-01-01,4,3,3,5,1,9,8,17,25
ANZALDO,estado nutricional,l 9.2 talla baja,2011-01-01,10,8,17,19,14,22,41,49,90
APOLO,estado nutricional,l 9.2 talla baja,2011-01-01,4,1,17,10,10,6,31,17,48
ARAMPAMPA,estado nutricional,l 9.2 talla baja,2011-01-01,7,8,25,22,24,28,56,58,114
ARANI,estado nutricional,l 9.2 talla baja,2011-01-01,2,4,20,9,9,10,31,23,54
ARBIETO,estado nutricional,l 9.2 talla baja,2011-01-01,3,4,18,7,13,13,34,24,58
ARQUE,estado nutricional,l 9.2 talla baja,2011-01-01,18,20,36,33,31,32,85,85,170
ASCENCION DE GUARAYOS,estado nutricional,l 9.2 talla baja,2011-01-01,2,1,0,0,0,1,2,2,4
ATOCHA,estado nutricional,l 9.2 talla baja,2011-01-01,11,4,11,6,13,9,35,19,54
AUCAPATA,estado nutricional,l 9.2 talla baja,2011-01-01,1,3,4,6,3,1,8,10,18
AYATA,estado nutricional,l 9.2 talla baja,2011-01-01,13,4,30,13,8,11,51,28,79
AYO AYO,estado nutricional,l 9.2 talla baja,2011-01-01,4,2,27,8,4,2,35,12,47
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.2 talla baja,2011-01-01,23,16,50,30,27,18,100,64,164
AZURDUY,estado nutricional,l 9.2 talla baja,2011-01-01,15,7,19,33,77,77,111,117,228
BATALLAS,estado nutricional,l 9.2 talla baja,2011-01-01,13,10,16,6,10,16,39,32,71
BAURES,estado nutricional,l 9.2 talla baja,2011-01-01,2,1,3,1,5,2,10,4,14
BELEN DE ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,1,0,4,3,5,4,9
BELEN DE URMIRI,estado nutricional,l 9.2 talla baja,2011-01-01,2,0,2,1,1,3,5,4,9
BELLA FLOR,estado nutricional,l 9.2 talla baja,2011-01-01,0,2,0,1,2,3,2,6,8
BERMEJO,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,5,5,5,10,11,16,27
BETANZOS,estado nutricional,l 9.2 talla baja,2011-01-01,50,27,83,64,94,96,227,187,414
BOLIVAR,estado nutricional,l 9.2 talla baja,2011-01-01,15,9,40,34,91,78,146,121,267
BOLPEBRA,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,0,0,1,1,2,2,4
BOYUIBE,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,2,1,3,5,5,7,12
BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-01-01,0,2,2,1,6,7,8,10,18
CABEZAS,estado nutricional,l 9.2 talla baja,2011-01-01,1,0,4,2,4,3,9,5,14
CAIROMA,estado nutricional,l 9.2 talla baja,2011-01-01,6,7,5,10,15,19,26,36,62
"CAIZA ""D""",estado nutricional,l 9.2 talla baja,2011-01-01,7,6,21,10,17,14,45,30,75
CAJUATA,estado nutricional,l 9.2 talla baja,2011-01-01,2,1,5,4,3,10,10,15,25
CALACOTO,estado nutricional,l 9.2 talla baja,2011-01-01,3,5,13,8,8,3,24,16,40
CALAMARCA,estado nutricional,l 9.2 talla baja,2011-01-01,18,13,36,25,13,25,67,63,130
CAMARGO,estado nutricional,l 9.2 talla baja,2011-01-01,14,7,33,23,51,43,98,73,171
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.2 talla baja,2011-01-01,1,1,6,2,7,8,14,11,25
CAMIRI,estado nutricional,l 9.2 talla baja,2011-01-01,3,4,8,3,20,13,31,20,51
CAPINOTA,estado nutricional,l 9.2 talla baja,2011-01-01,10,4,17,28,17,11,44,43,87
CAQUIAVIRI,estado nutricional,l 9.2 talla baja,2011-01-01,7,4,21,11,16,13,44,28,72
CARACOLLO,estado nutricional,l 9.2 talla baja,2011-01-01,16,3,25,26,21,24,62,53,115
CARANAVI,estado nutricional,l 9.2 talla baja,2011-01-01,13,19,65,48,39,53,117,120,237
CARANGAS,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,1,1,0,1,1,2,3
CARAPARI,estado nutricional,l 9.2 talla baja,2011-01-01,0,2,11,1,2,3,13,6,19
CARIPUYO,estado nutricional,l 9.2 talla baja,2011-01-01,27,23,46,38,106,82,179,143,322
CARMEN RIVERO TORREZ,estado nutricional,l 9.2 talla baja,2011-01-01,2,4,0,0,0,2,2,6,8
CATACORA,estado nutricional,l 9.2 talla baja,2011-01-01,2,3,7,1,0,1,9,5,14
CHACARILLA,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,5,2,2,2,8,5,13
CHALLAPATA,estado nutricional,l 9.2 talla baja,2011-01-01,31,20,55,29,38,48,124,97,221
CHAQUI,estado nutricional,l 9.2 talla baja,2011-01-01,6,7,12,11,12,12,30,30,60
CHARAGUA,estado nutricional,l 9.2 talla baja,2011-01-01,5,2,16,7,9,16,30,25,55
CHARAÑA,estado nutricional,l 9.2 talla baja,2011-01-01,2,2,2,3,4,3,8,8,16
CHAYANTA,estado nutricional,l 9.2 talla baja,2011-01-01,20,13,46,38,41,69,107,120,227
CHIMORE,estado nutricional,l 9.2 talla baja,2011-01-01,10,5,16,11,21,22,47,38,85
CHIPAYA,estado nutricional,l 9.2 talla baja,2011-01-01,1,1,5,0,5,5,11,6,17
CHOQUE COTA,estado nutricional,l 9.2 talla baja,2011-01-01,0,1,1,1,2,0,3,2,5
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.2 talla baja,2011-01-01,3,3,1,4,5,7,9,14,23
CHUMA,estado nutricional,l 9.2 talla baja,2011-01-01,10,3,15,12,24,16,49,31,80
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.2 talla baja,2011-01-01,10,4,17,18,15,10,42,32,74
CKOCHAS,estado nutricional,l 9.2 talla baja,2011-01-01,31,27,49,30,78,45,158,102,260
CLIZA,estado nutricional,l 9.2 talla baja,2011-01-01,8,1,8,6,12,9,28,16,44
COBIJA,estado nutricional,l 9.2 talla baja,2011-01-01,44,6,27,9,16,17,87,32,119
COCAPATA,estado nutricional,l 9.2 talla baja,2011-01-01,9,7,24,35,23,30,56,72,128
COCHABAMBA,estado nutricional,l 9.2 talla baja,2011-01-01,101,88,157,169,147,163,405,420,825
COIPASA,estado nutricional,l 9.2 talla baja,2011-01-01,0,0,0,0,1,0,1,0,1
COLCAPIRHUA,estado nutricional,l 9.2 talla baja,2011-01-01,6,0,4,5,8,3,18,8,26
