,group,variable,month,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 5TA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACACIO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,1,2
ACHACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,3,4,5,17
ACHOCALLA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,10,8,0,0,18
AIQUILE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,7,7,11,4,29
ALALAY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,3,0,3
ALCALA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,1,2,0,5
ALTO BENI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,8,0,3,19
ANCORAIMES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,2,2,1,10
ANDAMARCA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,1,0,0,1
ANTEQUERA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,0,0,1
ANZALDO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,2,3,5
APOLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,6,3,5,19
ARAMPAMPA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,4,5,9
ARANI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,6,0,1,11
ARBIETO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,12,12,7,4,35
ARQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,2,1,6,13
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,20,18,3,4,45
ATOCHA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,6,0,2,13
AYATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,3,1,4,9
AYO AYO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,2,0,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,10,7,2,7,26
AZURDUY,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,4,4,1,11
BATALLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,5,1,0,2,8
BAURES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,3,0,0,0,3
BELLA FLOR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,0,1,1,3
BERMEJO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,9,6,2,1,18
BETANZOS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,4,5,1,14
BOLIVAR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,0,2,2,4
BOLPEBRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,2,0,0,2
BOYUIBE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,1,4,0,0,5
BUENA VISTA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,3,1,0,8
CABEZAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,8,10,3,6,27
CAIROMA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,0,3,2,0,5
"CAIZA ""D""",vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,4,1,0,1,6
CAJUATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta. dosis,2018-01-01,2,2,0,2,6
