,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,5,1,0,0,6
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,2,0,0,0,2
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,0,0,2,2,4
PORTACHUELO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,1,0,0,0,1
PUCARANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
SAN BENITO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
SAN JOAQUIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,6,3,0,0,9
TRINIDAD,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,3,0,0,0,3
URUBICHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-01-01,5,0,0,0,5
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,3,0,0,0,3
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,4,2,3,0,9
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,1,2,6,6,15
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,6,2,0,0,8
SENA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,0,0,0,1,1
SORATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,0,0,0,2,2
VILLA TUNARI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-02-01,0,1,0,0,1
ACHACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,4,5,9
ATOCHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,0,1,1
BATALLAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,1,0,1
BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,1,0,1
"CAIZA ""D""",vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,0,1,1
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,0,1,1
CAQUIAVIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,1,1,0,0,2
CARANAVI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,3,0,1,4
CHAQUI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,4,0,4
CHAYANTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,1,4,1,1,7
CHUA COCANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,1,0,0,0,1
CKOCHAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,2,2,4
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,1,2,0,0,3
DESAGUADERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,1,1,4,2,8
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,6,8,43,35,92
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,1,0,0,1,2
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2018-03-01,0,0,1,0,1
