,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-01-01,0,0,2,2,4
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-01-01,3,2,8,10,23
PUCARANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-01-01,0,1,0,0,1
SAN BENITO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-01-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-01-01,1,0,0,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-01-01,1,1,0,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,2,0,8,5,15
COMBAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,0,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,14,12,1,0,27
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,1,0,0,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,1,1,4,3,9
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,1,0,0,0,1
POCONA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,0,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,0,0,1,1
SAN AGUSTIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,3,2,0,0,5
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,1,0,0,1
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,0,0,1,1
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,0,0,2,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,13,9,0,0,22
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-02-01,0,1,0,0,1
ALTO BENI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,2,2,4
BATALLAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,1,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,0,1,1
CARANAVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,0,1,1
CHAQUI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,1,0,1
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,1,0,0,2
COCAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,11,9,11,6,37
COMARAPA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,5,9,8,10,32
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,1,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,1,0,0,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,10,9,2,1,22
OCURI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,0,0,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,1,1,1,1,4
POROMA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,1,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,1,0,1,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2018-03-01,0,0,3,3,6
