,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,
CHUA COCANI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-01-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-01-01,3,0,0,0,3
PORTACHUELO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-01-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-01-01,1,1,0,0,2
SAN LUCAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-01-01,0,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,3,0,0,0,3
COLPA BELGICA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,1,0,0,0,1
COMBAYA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,3,0,0,1,4
EL ALTO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,1,0,0,0,1
EXALTACION,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,0,1,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,1,1,1,1,4
LA PAZ,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,0,2,0,0,2
PORTACHUELO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,9,4,0,0,13
REYES,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,1,0,0,0,1
SAN IGNACIO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,0,1,0,0,1
SUCRE,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,1,0,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-02-01,1,0,0,0,1
ACHACACHI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,9,7,21,22,59
ALTO BENI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,7,9,3,5,24
ANCORAIMES,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,0,8,7,15
APOLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,0,0,1,1
ATOCHA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,0,3,1,4
AYATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,2,0,1,3
BATALLAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,7,7,12,16,42
BELLA FLOR,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,1,2,1,2,6
BERMEJO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,9,7,12,20,48
BOLPEBRA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,1,0,0,1
CABEZAS,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,8,8,14,18,48
"CAIZA ""D""",vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,3,4,6,10,23
CALACOTO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,1,0,0,0,1
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,1,1,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,4,2,0,0,6
CAQUIAVIRI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,1,0,1,2
CARACOLLO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,1,4,4,3,12
CARANAVI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,9,9,2,6,26
CARAPARI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,20,22,0,0,42
CARIPUYO,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,0,0,6,2,8
CHALLAPATA,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,3,0,2,0,5
CHAQUI,vacunacion en ninos de 4 anos,srp 2da. dosis,2018-03-01,2,5,5,7,19
