,group,variable,month,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,3,0,3
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,0,0,1
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,8,4,0,0,12
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,1,0,0,0,1
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,1,0,0,3
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,3,1,0,0,4
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,18,12,0,0,30
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,15,10,0,0,25
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,0,1,1
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,0,0,1
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,3,7,0,0,10
ESMERALDA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,1,0,0,1,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,0,0,0,2
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,2,1,3
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,0,5,4,9
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,1,0,0,1
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,17,4,0,0,21
MAGDALENA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,2,5,0,0,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-01-01,0,2,0,0,2
