,group,variable,month,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,1,0,1,0,2
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,1,0,0,1,2
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,10,9,0,0,19
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,16,14,0,0,30
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,0,0,0,1,1
EXALTACION,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,2,3,0,0,5
MAGDALENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,3,5,0,0,8
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,11,7,0,0,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,1,1,1,0,3
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,3,3,0,0,6
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,19,16,0,0,35
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,6,9,0,0,15
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,1,0,0,0,1
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,9,12,0,0,21
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,14,11,0,0,25
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,2,5,0,1,8
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,6,14,0,0,20
SENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,5,4,0,0,9
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,2,2,0,1,5
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,0,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-01-01,1,11,3,2,17
