,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,5,3,5,15
ACHACACHI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,34,19,8,6,67
ACHOCALLA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,14,9,7,6,36
AIQUILE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,16,21,8,7,52
ALALAY,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,0,1,0,1
ALCALA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,4,3,0,0,7
ALTO BENI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,7,9,3,1,20
ANCORAIMES,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,6,5,2,2,15
ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,2,0,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,1,1,0,4
ANZALDO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,5,4,3,17
APOLO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,11,12,4,4,31
ARAMPAMPA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,2,2,2,6
ARANI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,7,0,3,19
ARBIETO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,15,4,14,42
ARQUE,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,8,8,1,1,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,34,44,0,1,79
ATOCHA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,10,8,0,1,19
AUCAPATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,2,2,0,0,4
AYATA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,1,5,1,2,9
AYO AYO,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,12,6,1,1,20
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,18,14,5,9,46
AZURDUY,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,1,3,6,15
BATALLAS,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,9,14,6,3,32
BAURES,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,5,3,0,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,2,0,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total pentavalente 1ra dosis,2015-01-01,0,1,2,1,4
