,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,2,3,3,8
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,22,21,6,8,57
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,10,8,6,13,37
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,13,18,3,4,38
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,0,1,2,3
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,2,0,1,5
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,12,0,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,8,4,3,26
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,3,1,0,6
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,4,2,0,0,6
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,2,4,2,3,11
APOLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,11,1,0,21
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,2,5,8
ARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,11,9,1,2,23
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,16,10,7,8,41
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,9,8,0,0,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,2,0,0,5
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,6,5,1,2,14
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,1,3,0,5
AYATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,5,4,1,2,12
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,7,0,1,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,17,10,11,12,50
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,8,0,1,2,11
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,13,8,6,6,33
BAURES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,3,4,0,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,0,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-01-01,1,0,2,0,3
