,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,2,3,3,8
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,21,20,4,8,53
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,10,8,6,13,37
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,14,19,4,4,41
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,0,0,1,1
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,2,0,1,5
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,4,11,0,1,16
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,9,3,2,23
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,3,1,0,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,2,0,0,5
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,4,3,3,12
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,11,2,1,23
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,2,5,8
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,11,9,1,2,23
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,16,10,7,8,41
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,9,8,1,0,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,22,25,0,0,47
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,6,7,1,2,16
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,1,3,0,5
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,5,3,1,2,11
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,3,7,1,1,12
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,16,8,11,10,45
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,7,1,1,2,11
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,13,9,5,6,33
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,2,4,0,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,0,0,2,0,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-01-01,1,0,2,0,3
