,group,variable,month,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,4,3,5,14
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,31,15,8,6,60
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,14,9,7,6,36
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,15,17,7,7,46
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,0,1,0,1
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,4,3,0,0,7
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,7,9,3,1,20
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,6,5,1,4,16
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,0,1,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,1,1,0,4
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,5,4,3,17
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,10,12,2,2,26
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,2,2,2,6
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,7,0,3,19
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,14,4,14,41
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,8,8,1,1,18
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,30,33,0,0,63
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,8,1,1,21
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,2,2,0,0,4
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,1,5,1,2,9
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,11,5,1,1,18
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,17,12,5,9,43
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,1,3,6,15
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,9,12,6,3,30
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,5,3,0,0,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-01-01,0,1,2,0,3
