,group,variable,month,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS DENTRO,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTAL PENTAVALENTE 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,3,3,3,10
ACHACACHI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,16,5,7,40
ACHOCALLA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,5,7,8,29
AIQUILE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,9,7,8,6,30
ALALAY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,1,1,4
ALCALA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,0,1,1,6
ALTO BENI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,11,0,1,19
ANCORAIMES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,10,9,3,3,25
ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,1,1,2,7
ANTEQUERA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,3,1,0,7
ANZALDO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,3,1,0,0,4
APOLO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,12,12,4,2,30
ARAMPAMPA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,2,2,1,6
ARANI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,10,9,0,1,20
ARBIETO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,13,7,8,5,33
ARQUE,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,0,7,0,2,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,31,34,0,0,65
ATOCHA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,7,7,1,0,15
AUCAPATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,1,1,2,5
AYATA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,6,6,0,2,14
AYO AYO,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,3,0,1,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,10,5,4,3,22
AZURDUY,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,4,2,5,5,16
BATALLAS,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,10,14,4,2,30
BAURES,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,5,2,0,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,2,0,1,0,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total pentavalente 3ra dosis,2015-01-01,1,0,2,0,3
