,group,variable,month,TOTAL BCG DENTRO,TOTAL BCG DENTRO,TOTAL BCG FUERA,TOTAL BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,2,5,3,12
ACHACACHI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,24,19,11,13,67
ACHOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,8,5,3,22
AIQUILE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,15,16,4,2,37
ALALAY,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,5,0,6
ALCALA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,3,0,0,5
ALTO BENI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,8,1,1,14
ANCORAIMES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,5,5,5,20
ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,1,1,2
ANTEQUERA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,2,0,3
ANZALDO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,6,0,0,8
APOLO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,8,7,5,29
ARAMPAMPA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,2,0,3,1,6
ARANI,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,6,0,0,14
ARBIETO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,9,10,9,8,36
ARQUE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,2,1,2,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,34,38,0,0,72
ATOCHA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,9,2,1,17
AUCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,0,4,4
AYATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,4,6,6,16
AYO AYO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,0,8,7,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total bcg,2015-01-01,7,7,2,9,25
AZURDUY,vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,0,5,2,8
BATALLAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,4,9,5,7,25
BAURES,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,3,2,0,10
BELLA FLOR,vacunaciones en menores de 1 ano,total bcg,2015-01-01,0,1,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,total bcg,2015-01-01,30,20,2,2,54
BETANZOS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,8,13,7,8,36
BOYUIBE,vacunaciones en menores de 1 ano,total bcg,2015-01-01,3,1,0,0,4
BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,4,1,3,14
CABEZAS,vacunaciones en menores de 1 ano,total bcg,2015-01-01,15,9,8,16,48
CAIROMA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,6,7,1,1,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,total bcg,2015-01-01,1,1,2,4,8
CAJUATA,vacunaciones en menores de 1 ano,total bcg,2015-01-01,5,6,4,1,16
