,group,variable,month,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,3,3,3,10
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,12,15,5,8,40
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,5,7,9,30
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,7,8,6,31
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,0,0,2
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,0,1,1,6
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,14,0,1,21
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,9,9,1,3,22
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,1,1,2,7
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,3,1,0,7
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,1,0,0,4
APOLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,14,10,1,0,25
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,2,2,1,6
ARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,10,9,0,1,20
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,14,7,6,6,33
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,0,7,0,2,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,3,3,0,0,6
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,11,3,1,1,16
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,1,1,2,5
AYATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,7,5,0,2,14
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,6,5,0,0,11
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,12,5,5,4,26
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,4,2,5,5,16
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,12,16,4,2,34
BAURES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,5,2,0,1,8
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,2,0,1,0,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-01-01,1,0,1,0,2
